Begin Time - msec	End Time - msec	Duration - msec	Block	Trial no	Stimulus	Handedness	Comments_CF	Comments_DF	NMM	Compound signs	Comments_ZS	Comments_NC	Response Translation	Response Status	ID Gloss ASLLEX
10028	394667	384639	O3												
467999	836189	368190	O4												
1339999	1734155	394156	A3												
1830028	2210188	380160	A4												
10685	12042	1357	O3	9	obj173trash.jpg	1							Don't know	Reject	
13784	15084	1300	O3	10	obj288orange.jpg	1			NMM				ORANGE-n	Accept++	ORANGE
20528	21714	1186	O3	11	obj328pliers.jpg	1							Don't know	Reject	
23060	24274	1214	O3	12	obj102clown.jpg	1			NMM				CLOWN-n	Accept++	CLOWN
25662	26747	1085	O3	13	bicycle.png	2+			NMM				BICYCLE_n	Accept++	BICYCLE
28285	29399	1114	O3	14	vacuum.png		1			NMM				VACUUM_n	Accept++	VACUUM
30910	32024	1114	O3	15	spider.png	2+			NMM				SPIDER_n	Accept++	SPIDER
33535	34635	1100	O3	16	car.png	2+			NMM				CAR-n	Accept++	CAR
36080	37337	1257	O3	17	glasses.png	2+			NMM				GLASSES_n	Accept++	GLASSES
39074	40374	1300	O3	18	obj379scarf.jpg	2-			NMM				SCARF_n	Accept++	SCARF.3
41734	42863	1129	O3	19	obj336potato.jpg	2-			NMM				POTATO_n	Accept++	POTATO
44323	45523	1200	O3	20	cow.png	2+			NMM		delete COW.1, keep as COW		COW_n	Accept++	COW
47048	48148	1100	O3	21	fox.png	1			NMM				FOX_n	Accept++	FOX
49794	51165	1371	O3	22	obj435sword.jpg	1			NMM				SWORD_n	Accept++	SWORD
52360	53546	1186	O3	23	obj263mirror.jpg	1			NMM				MIRROR_n	Accept++	MIRROR
54792	56035	1243	O3	24	obj066butter.jpg	2-			NMM: (mouthing 'soap')				SOAP_n	Reject	SOAP
57265	58422	1157	O3	25	hat2.png	1			NMM				HAT_n	Accept++	HAT
60068	61325	1257	O3	26	cake2.png	2-			NMM		no, keep as CAKE - close enough		CAKE_n	Accept++	CAKE
62864	64078	1214	O3	27	obj142ear.jpg	1			NMM				EAR_n	Accept++	EAR
65239	66567	1328	O3	28	turtle.png	2-			NMM				TURTLE_n	Accept++	TURTLE
68382	69539	1157	O3	29	obj207hippo.jpg	2+							HIPPO_n	Accept++	HIPPO.1
71141	72384	1243	O3	30	spaghetti.png	2+							SPAGHETTI_n	Accept++	SPAGHETTI
73627	75042	1415	O3	31	obj130dolphin.jpg	2-			NMM				DOLPHIN_n	Accept++	DOLPHIN
76957	78143	1186	O3	32	obj515woman.jpg	1							WOMAN_n	Accept++	WOMAN
79646	80903	1257	O3	33	obj059bra.jpg	2+			NMM				BRA_n	Accept++	BRA
82654	83797	1143	O3	34	firefighter.png	1					changed gloss to FIREMAN		FIREMAN_n	Accept++	FIREMAN
85506	86878	1372	O3	35	obj520zipper.jpg	2-			NMM				ZIPPER_n	Accept++	ZIPPER
88458	89715	1257	O3	36	obj342queen.jpg	1			NMM				QUEEN_n	Accept++	QUEEN
91226	92483	1257	O3	37	obj434swing.jpg	2-			NMM		changed from SWING.1 to SWING_2		SWING_n	Accept++	SWING_2
93906	95163	1257	O3	38	obj135dress.jpg	2+			NMM				DRESS_n	Accept++	DRESS
96430	97601	1171	O3	39	obj479umbrella.jpg	2-			NMM				UMBRELLA_n	Accept++	UMBRELLA
