Begin Time - msec	End Time - msec	Duration - msec	Block	Trial no	Stimulus	Handedness	Comments_CF	Comments_DF	NMM	Compound signs	Comments_ZS	Response Translation	Response Status	Lemma Gloss (ASLLEX)	ID Gloss ASLLEX	Comments_JB
1842	410974	409132	O3													
418042	809918	391876	O4													
885318	1290245	404927	A3													
1296188	1684086	387898	A4													
28402	29816	1414	O3	9	obj173trash.jpg	2-						TRASH_n	Accept++		TRASH	
31341	32612	1271	O3	10	obj288orange.jpg	1						ORANGE_n	Accept++		ORANGE	
34208	35408	1200	O3	11	obj328pliers.jpg	2-						PLIERS	Reject		MECHANIC_2	
36740	37926	1186	O3	12	obj102clown.jpg	1						CLOWN_n	Accept++		CLOWN	
39150	40435	1285	O3	13	bicycle.png	2+						BICYCLE_n	Accept++		BICYCLE	
41580	42894	1314	O3	14	vacuum.png	1						VACUUM_n	Accept++		VACUUM	
43913	45084	1171	O3	15	spider.png	2+						SPIDER_n	Accept++		SPIDER	
46146	47175	1029	O3	16	car.png	2+						CAR_n	Accept++		CAR	ASL LEX.
48193	49407	1214	O3	17	glasses.png	2+						GLASSES-n	Accept++		EYEGLASSES	
50487	51859	1372	O3	18	obj379scarf.jpg	1	added variant screeenshot_SCARF.2					SCARF-n	Accept+-		SCARF.2	
52961	54104	1143	O3	19	obj336potato.jpg	2-						POTATO-n	Accept++		POTATO	
55192	56449	1257	O3	20	cow.png	1						COW-n	Accept++		COW	Y-hs moved downward
57535	58635	1100	O3	21	fox.png	1						FOX-n	Accept++		FOX	
59760	61017	1257	O3	22	obj435sword.jpg	1						SWORD-n	Accept++		SWORD	
62175	63304	1129	O3	23	obj263mirror.jpg	1						MIRROR-n	Accept++		MIRROR	
64398	65627	1229	O3	24	obj066butter.jpg	2-						BUTTER-n	Accept++		BUTTER	
66644	67944	1300	O3	25	hat2.png	1					changed to ++, similar to BASEBALL_CAP in ASLLEX	HATBRIM-n	Accept++		HATBRIM	
68809	70309	1500	O3	26	cake2.png	2-					code as PIE!!!!! changed to ACCEPT+- because this should be sign CAKE	PIE-n	Accept+-		PIE	
71247	72519	1272	O3	27	obj142ear.jpg	1					change to HEAR	EAR-n	Accept++		HEAR	
73544	74886	1342	O3	28	turtle.png	2-						TURTLE-n	Accept++		TURTLE	
75952	77466	1514	O3	29	obj207hippo.jpg	2+						HIPPO-n	Accept++		HIPPO	
78655	80055	1400	O3	30	spaghetti.png	2+						SPAGHETTI-n	Accept++		SPAGHETTI	
81118	82646	1528	O3	31	obj130dolphin.jpg	1						DOLPHIN-n	Accept++		DOLPHIN.2	
83886	85186	1300	O3	32	obj515woman.jpg	1						WOMAN-n	Accept++		WOMAN	
