Begin Time - msec,End Time - msec,Duration - msec,Block,Trial no,Stimulus,Handedness,Comments_CF,Comments_DF,NMM,Compound signs,Comments_ZS,Response Translation,Response Status,Lemma Gloss (ASLLEX),Comment_NC,ID Gloss ASLLEX,ID Gloss ASLLEX OLD,CleanGloss,Matched,EntryID,SignFrequency(Z),Code,Iconicity(Z),LexicalClass,Compound.2.0,Handshape.2.0,SelectedFingers.2.0,ThumbPosition.2.0,SignType.2.0,Movement.2.0,MajorLocation.2.0,MinorLocation.2.0,Contact.2.0,Parameter.Neighborhood.Density.2.0
2228,3671,1443,A1,14,act257walk.jpg,2+,,,,,,WALK_v,Accept++,WALK,,walk,walk,walk,True,walk,1.086,D_02_057,0.853,Verb,0.0,open_b,imrp,Open,SymmetricalOrAlternating,Curved,Neutral,Neutral,0.0,344.0
5045,6916,1871,A1,15,act126lick.jpg,2+,,,,,,LICK_v,Accept++,LICK,,lick_envelope,lick_envelope,lick_envelope,True,lick_envelope,-0.616,K_01_035,1.257,Verb,0.0,open_b,imrp,Open,SymmetricalOrAlternating,Curved,Head,HeadAway,0.0,202.0
8041,9527,1486,A1,16,rain.png,2+,,,,,,RAIN_v,Accept++,RAIN,,rain,rain,rain,True,rain,0.917,A_03_061,0.897,Noun,0.0,spread_open_e,imrp,Open,SymmetricalOrAlternating,Straight,Neutral,Neutral,0.0,443.0
11112,12612,1500,A1,17,act076look.jpg,2+,Look thru microscope,,,,,MICROSCOPE_v,Accept++,,,microscope,microscope,microscope,True,microscope,-1.329,A_03_076,0.994,Noun,0.0,curved_5,imrp,Open,SymmetricalOrAlternating,,Head,HeadAway,0.0,265.0
14152,15367,1215,A1,18,act260water.jpg,1,,,,,,POUR_v,Accept++,POUR,,pour,pour,pour,True,pour,-0.495,F_02_063,1.382,Verb,0.0,y,p,Open,OneHanded,Curved,Neutral,Neutral,0.0,270.0
17262,18862,1600,A1,19,act216somersault.jpg,2+,,,NMM,,,SOMERSAULT_v,Accept++,SOMERSAULT,,somersault,somersault,somersault_1,True,somersault_1,-0.626,J_02_012,1.103,Noun,0.0,1,i,Closed,SymmetricalOrAlternating,Circular,Neutral,Neutral,0.0,177.0
23766,25309,1543,A1,21,act122knit.jpg,2+,,,,,,KNIT_v,Accept++,KNIT,,knitting,knitting,knitting,True,knitting,-0.653,D_03_071,0.542,Verb,0.0,1,i,Closed,SymmetricalOrAlternating,,Neutral,Neutral,1.0,272.0
27397,28911,1514,A1,22,act100whisper.jpg,2+,,,NNM,,,GOSSIP_v,Accept++,GOSSIP,,gossip,gossip,gossip,True,gossip,0.059,D_01_029,0.07,Noun,0.0,g,i,Open,SymmetricalOrAlternating,Circular,Head,Mouth,0.0,72.0
30130,31944,1814,A1,23,act186punish.jpg,2-,,,NNM,,,PUNISH_v,Accept++,PUNISH,,punish,punish,punish,True,punish,-0.259,C_02_041,-0.06,Verb,0.0,1,i,Closed,OneHanded,Curved,Arm,ForearmUlnar,1.0,76.0
33356,34984,1628,A1,24,act272write.jpg,2-,,,NMM,,,WRITE_v,Accept++,WRITE,,write,write,write,True,write,0.785,D_01_051,1.821,Verb,0.0,baby_o,i,Open,AsymmetricalDifferentHandshape,Straight,Hand,Palm,1.0,387.0
36500,38271,1771,A1,25,act071dust.jpg,2-,,,,,,CLEAN_v,Accept++,,,clean,clean,clean,True,clean,0.302,E_03_082,0.171,Verb,0.0,open_b,imrp,Open,AsymmetricalSameHandshape,Curved,Hand,Palm,1.0,266.0
47389,49332,1943,A1,28,act180roast.jpg,2+,,,,,,ROAST-v,Accept++,,I don't understand.,roast,roast,roast,True,roast,-1.413,J_02_038,0.98,Verb,1.0,1,i,Closed,SymmetricalOrAlternating,Circular,Neutral,Neutral,0.0,177.0
50963,53420,2457,A1,29,act131load.jpg,2+,,,,,,LOAD,Accept++,LOAD,,load,load.1,load,True,load,-0.841,H_01_055,0.164,Verb,0.0,curved_5,imrp,Open,SymmetricalOrAlternating,Straight,Neutral,Neutral,0.0,512.0
