frame,pose_detection_confidence,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,1.0000000000,0.7367487550,0.4440796673,-0.3807404637,0.9999330044,0.7557954192,0.4146362841,-0.3772683144,0.9998699427,0.7652731538,0.4162978232,-0.3777362108,0.9998638630,0.7746570110,0.4184156060,-0.3776875734,0.9998697042,0.7402510047,0.4127386212,-0.3483785987,0.9999178648,0.7366490960,0.4116240740,-0.3490092158,0.9999376535,0.7330103517,0.4100037217,-0.3494530916,0.9999499321,0.8035285473,0.4330375791,-0.2916100025,0.9999518394,0.7453896999,0.4208497405,-0.1609540433,0.9999225140,0.7529887557,0.4758054912,-0.3404662609,0.9999423027,0.7325912714,0.4757996798,-0.3064059913,0.9999346733,0.8668485284,0.6467320919,-0.2866173983,0.9998033643,0.6780589223,0.5750610232,0.0064582806,0.9997356534,0.8025956750,0.8713043928,-0.3272751868,0.9971836209,0.5730910301,0.7458648682,-0.0253203679,0.8507878184,0.6365592480,0.9516748786,-0.4482259452,0.9954189062,0.4887628257,0.8282919526,-0.3597942889,0.9806922674,0.5865268707,0.9407973886,-0.5172990561,0.9940435290,0.4603099525,0.8478158712,-0.4355046451,0.9853610396,0.5758126974,0.9107025266,-0.5317925811,0.9954315424,0.4613603354,0.8331325650,-0.4845189154,0.9891983867,0.5847344995,0.9103158116,-0.4538491070,0.9919044971,0.4790524244,0.8326914907,-0.3918579221,0.9860962033,0.7755229473,1.0333755016,-0.0763627738,0.8984354138,0.6632428765,0.9856904149,0.0762771815,0.9206393361,0.7746951580,1.3671177626,0.0062221023,0.1289477646,0.6585724950,1.3185981512,0.1282076687,0.0358501412,0.7514762282,1.6362266541,0.2454440445,0.0176491421,0.6564434171,1.6020792723,0.4521045983,0.0041542035,0.7656748295,1.6825350523,0.2617391646,0.0289636217,0.6613084674,1.6440960169,0.4801678658,0.0089238072,0.6903349161,1.6991082430,0.1069678366,0.0301687922,0.6371281147,1.6815737486,0.3594330847,0.0065886267
2,1.0000000000,0.7367326617,0.4449452162,-0.3246645629,0.9999343157,0.7557968497,0.4148620665,-0.3183954060,0.9998718500,0.7652580738,0.4163683653,-0.3188592792,0.9998661876,0.7746702433,0.4184351563,-0.3188089430,0.9998712540,0.7402175665,0.4134227335,-0.2872353792,0.9999195933,0.7366609573,0.4125531018,-0.2878746092,0.9999392033,0.7332019806,0.4112507999,-0.2883025110,0.9999508858,0.8036212325,0.4330565631,-0.2298035622,0.9999525547,0.7458531857,0.4216780663,-0.0878067911,0.9999239445,0.7529922724,0.4758067429,-0.2837845981,0.9999434352,0.7326042652,0.4759975076,-0.2467290312,0.9999362826,0.8670110106,0.6463996768,-0.2439395487,0.9998036623,0.6783314943,0.5758855939,0.0803425238,0.9997401834,0.8033363223,0.8700884581,-0.3013497293,0.9971175790,0.5736839771,0.7458827496,0.0216199588,0.8520277739,0.6360866427,0.9514868855,-0.4249267876,0.9952878952,0.4882119298,0.8371893167,-0.3478049338,0.9815124273,0.5862964988,0.9407814741,-0.4936000109,0.9939326048,0.4578654170,0.8554386497,-0.4263877571,0.9859212637,0.5757269263,0.9105228186,-0.5062430501,0.9953424931,0.4606452882,0.8444892764,-0.4738771617,0.9896205068,0.5838147998,0.9100587368,-0.4289765656,0.9917561412,0.4786628485,0.8454065919,-0.3802402318,0.9866124392,0.7779834867,1.0424231291,-0.0827262923,0.8895574808,0.6639029384,0.9963074327,0.0825489014,0.9143314362,0.7747169733,1.4064447880,-0.0755476356,0.1291119307,0.6579453349,1.3517405987,0.1432141513,0.0342131183,0.7504857779,1.6966736317,0.1323702931,0.0171650965,0.6530260444,1.6556485891,0.4523304701,0.0040182197,0.7643690705,1.7489520311,0.1441409886,0.0278500859,0.6577456594,1.7052561045,0.4798749089,0.0086162118,0.6879518032,1.7519410849,-0.0328517295,0.0294934344,0.6288157701,1.7241189480,0.3517338932,0.0064078630
4,1.0000000000,0.7362837195,0.4474814236,-0.3233325779,0.9999359250,0.7552230358,0.4159064591,-0.3165749907,0.9998737574,0.7644754648,0.4168649018,-0.3170335889,0.9998683929,0.7738192081,0.4187273085,-0.3169639409,0.9998721480,0.7399666309,0.4157303274,-0.2849327326,0.9999216199,0.7366208434,0.4152540863,-0.2855739892,0.9999411106,0.7332332134,0.4143558145,-0.2860010862,0.9999521971,0.8034929633,0.4340300858,-0.2239832729,0.9999527335,0.7459886670,0.4238399863,-0.0797460973,0.9999259114,0.7525038123,0.4768248498,-0.2808140516,0.9999439716,0.7325013876,0.4774559438,-0.2431117594,0.9999376535,0.8668838143,0.6462096572,-0.2367623448,0.9998030066,0.6789752245,0.5760989785,0.0961272493,0.9997493029,0.8033268452,0.8684769869,-0.2972500026,0.9970173836,0.5757660866,0.7454199195,0.0433338247,0.8538159132,0.6360961199,0.9518104196,-0.4220738709,0.9951360822,0.4872407913,0.8389856815,-0.3333936334,0.9827631712,0.5869697332,0.9412990212,-0.4911130667,0.9938198924,0.4539845288,0.8551376462,-0.4132103622,0.9868485332,0.5758557916,0.9109045863,-0.5034314990,0.9952557087,0.4596515000,0.8468654752,-0.4606425166,0.9903063774,0.5833624005,0.9107388258,-0.4259350598,0.9916246533,0.4780154526,0.8508386016,-0.3660602272,0.9874715209,0.7804504633,1.0462698936,-0.0904110372,0.8799696565,0.6658971310,1.0002999306,0.0901841521,0.9086053371,0.7760570049,1.4178063869,-0.0791239217,0.1254494190,0.6579628587,1.3625687361,0.1694500297,0.0320139304,0.7502963543,1.7109357119,0.1158196256,0.0164742153,0.6530919671,1.6719118357,0.4696447551,0.0038170679,0.7642215490,1.7645906210,0.1261496395,0.0267121382,0.6578316689,1.7236180305,0.4940969646,0.0082458556,0.6857516766,1.7653028965,-0.0513376221,0.0285299309,0.6274920702,1.7386744022,0.3614726365,0.0061280462
6,1.0000000000,0.7358392477,0.4535994828,-0.3161554337,0.9999380708,0.7543969750,0.4207943380,-0.3105235100,0.9998769164,0.7634887695,0.4209039509,-0.3109670281,0.9998715520,0.7727439404,0.4219115973,-0.3108919561,0.9998742938,0.7395700812,0.4216608107,-0.2791854739,0.9999244213,0.7365036607,0.4213066697,-0.2798504531,0.9999433756,0.7332386374,0.4203949273,-0.2802910209,0.9999539852,0.8029582500,0.4358871579,-0.2209132165,0.9999529719,0.7460352182,0.4281066060,-0.0778365657,0.9999285936,0.7521319985,0.4821201563,-0.2742084861,0.9999447465,0.7324257493,0.4818460047,-0.2367500663,0.9999393821,0.8668968678,0.6459030509,-0.2319859564,0.9998025894,0.6795232296,0.5765129924,0.0946694314,0.9997611046,0.8034207821,0.8647899628,-0.2883135974,0.9969696999,0.5772828460,0.7450551987,0.0613833666,0.8606418967,0.6361130476,0.9519437551,-0.4092638791,0.9950191975,0.4867742360,0.8421162963,-0.2839327157,0.9840991497,0.5881596208,0.9423670173,-0.4765517116,0.9937145114,0.4491566420,0.8547764421,-0.3586967587,0.9878005385,0.5758184195,0.9120620489,-0.4893730283,0.9951760769,0.4593929052,0.8526360989,-0.4079653025,0.9910084009,0.5816369057,0.9119910598,-0.4132192731,0.9915112853,0.4783004522,0.8600891829,-0.3163598776,0.9883590937,0.7807325721,1.0477507114,-0.0925671086,0.8755618930,0.6667279601,1.0028023720,0.0923299864,0.9075165391,0.7773217559,1.4200931787,-0.0812946856,0.1241660565,0.6578993201,1.3626942635,0.1619174629,0.0307167266,0.7503314614,1.7113908529,0.0964539796,0.0159932468,0.6530270576,1.6734254360,0.4617200196,0.0036761633,0.7642352581,1.7634584904,0.1053840369,0.0257241167,0.6578959823,1.7249325514,0.4840516746,0.0080044754,0.6858375072,1.7673096657,-0.0636287704,0.0277085155,0.6249189973,1.7416039705,0.3577753305,0.0059200958
8,1.0000000000,0.7355718017,0.4576991796,-0.3207721710,0.9999406338,0.7539873123,0.4243401289,-0.3155995607,0.9998811483,0.7630279064,0.4240002930,-0.3160457611,0.9998759031,0.7723211050,0.4245379865,-0.3159639239,0.9998775721,0.7392711639,0.4257007241,-0.2839716077,0.9999276400,0.7363885641,0.4254256189,-0.2846372724,0.9999459982,0.7332403064,0.4244769216,-0.2850760818,0.9999560118,0.8027412891,0.4375868738,-0.2267404050,0.9999538660,0.7460559607,0.4312898219,-0.0821344927,0.9999316335,0.7520048022,0.4860015213,-0.2790189683,0.9999458194,0.7323989868,0.4853664339,-0.2411459386,0.9999412894,0.8669183850,0.6456556916,-0.2375609279,0.9998040795,0.6805220842,0.5768861771,0.0886566043,0.9997726083,0.8034797311,0.8617798686,-0.2941268682,0.9969494343,0.5789754391,0.7445178628,0.0492272601,0.8667730093,0.6356428862,0.9518607855,-0.4154646993,0.9949978590,0.4861738980,0.8432084322,-0.3011598587,0.9853321910,0.5879650712,0.9424047470,-0.4833805859,0.9937388897,0.4458381832,0.8546095490,-0.3775000572,0.9887021780,0.5741100907,0.9123984575,-0.4965621233,0.9951991439,0.4580245912,0.8547277451,-0.4265145063,0.9916731715,0.5787826777,0.9123046994,-0.4197907448,0.9915668368,0.4781945050,0.8628869653,-0.3336614370,0.9892008901,0.7806766629,1.0492312908,-0.0941987112,0.8725136518,0.6667956710,1.0048118830,0.0939515382,0.9067717791,0.7777267098,1.4195734262,-0.0833951905,0.1245046034,0.6576333642,1.3617112637,0.1771145016,0.0295117609,0.7481815219,1.7123299837,0.0899233222,0.0158616118,0.6504992247,1.6725978851,0.4727875888,0.0035878681,0.7616664767,1.7648196220,0.0983520001,0.0253251679,0.6558898091,1.7248725891,0.4954566956,0.0078812996,0.6820286512,1.7685568333,-0.0737893358,0.0275474656,0.6189993024,1.7406222820,0.3705625534,0.0058037010
10,1.0000000000,0.7355358601,0.4605071247,-0.3236832023,0.9999425411,0.7537296414,0.4272039831,-0.3205878437,0.9998834133,0.7626846433,0.4266713262,-0.3210479617,0.9998782277,0.7720079422,0.4268940091,-0.3209938407,0.9998785257,0.7391732931,0.4287154078,-0.2908395827,0.9999298453,0.7363688946,0.4285292625,-0.2914910316,0.9999479055,0.7332828045,0.4276108444,-0.2919210792,0.9999574423,0.8026828766,0.4388260841,-0.2350797057,0.9999536276,0.7462322712,0.4336185157,-0.0916758329,0.9999336600,0.7520012259,0.4883793294,-0.2854613960,0.9999454021,0.7325256467,0.4884122014,-0.2495124191,0.9999417663,0.8671384454,0.6454616189,-0.2428243756,0.9997994304,0.6818783283,0.5772906542,0.0789846554,0.9997823238,0.8037259579,0.8577681780,-0.2968143225,0.9967479706,0.5814806223,0.7429257035,0.0376881957,0.8718970418,0.6357916594,0.9518620968,-0.4240131378,0.9945333004,0.4860843718,0.8444965482,-0.3203073740,0.9864511490,0.5879949331,0.9426442385,-0.4943004549,0.9933397770,0.4444657564,0.8541135788,-0.4033186138,0.9895260930,0.5739450455,0.9133450389,-0.5097021461,0.9949034452,0.4573862851,0.8564326763,-0.4539527893,0.9922825694,0.5780327320,0.9131758213,-0.4292432964,0.9911030531,0.4781766236,0.8658571839,-0.3544458151,0.9899741411,0.7819645405,1.0504186153,-0.0943908170,0.8655792475,0.6676188111,1.0052548647,0.0941411331,0.9036109447,0.7806534171,1.4223918915,-0.1002388224,0.1219929978,0.6583693624,1.3647487164,0.1788110882,0.0279954821,0.7486026883,1.7177962065,0.0554663092,0.0154142696,0.6505774856,1.6767662764,0.4807780385,0.0034447671,0.7617657185,1.7708709240,0.0615429729,0.0245450418,0.6559613347,1.7294993401,0.5044325590,0.0076589985,0.6824302077,1.7744108438,-0.1195606440,0.0268606786,0.6202077866,1.7441858053,0.3779065013,0.0055884523
12,1.0000000000,0.7358423471,0.4618991315,-0.3286106586,0.9999449253,0.7537779212,0.4282902777,-0.3238145113,0.9998874068,0.7627258897,0.4277167916,-0.3242607117,0.9998821020,0.7720842361,0.4279262125,-0.3241847456,0.9998815656,0.7392315269,0.4296151698,-0.2932580709,0.9999329448,0.7364414334,0.4293908477,-0.2939141691,0.9999504089,0.7334917188,0.4284547865,-0.2943467200,0.9999594688,0.8027371764,0.4393126369,-0.2332701534,0.9999541640,0.7465871572,0.4340892136,-0.0901446268,0.9999366999,0.7523418069,0.4893808961,-0.2875329852,0.9999462962,0.7330729961,0.4895077646,-0.2508009672,0.9999436140,0.8674108386,0.6454388499,-0.2385622114,0.9997952580,0.6833141446,0.5773781538,0.0771584213,0.9997925162,0.8037244678,0.8549026251,-0.2964954078,0.9965600967,0.5829455853,0.7420670986,0.0354282446,0.8772660494,0.6358332634,0.9518831968,-0.4218337238,0.9941638708,0.4859463871,0.8451518416,-0.3195098341,0.9874873161,0.5879909992,0.9430786371,-0.4909068048,0.9930055737,0.4434897602,0.8537935019,-0.4002944827,0.9902757406,0.5738220215,0.9147629142,-0.5065580010,0.9946580529,0.4568855464,0.8582994938,-0.4504011869,0.9928389192,0.5777580738,0.9144498110,-0.4271328151,0.9907236695,0.4781457782,0.8683764935,-0.3529355228,0.9906777740,0.7818790078,1.0504411459,-0.0936830938,0.8563283682,0.6683161259,1.0052666664,0.0934582651,0.8992803097,0.7817210555,1.4228227139,-0.1003087088,0.1172019690,0.6583889127,1.3655591011,0.1745020747,0.0263585597,0.7484394312,1.7204259634,0.0708447769,0.0146256499,0.6495333314,1.6799168587,0.4665520489,0.0032672610,0.7614005804,1.7732950449,0.0787099451,0.0232811645,0.6544466019,1.7332522869,0.4887837172,0.0073073162,0.6816890240,1.7770364285,-0.0981906950,0.0256697368,0.6194476485,1.7457740307,0.3585887253,0.0053377519
14,1.0000000000,0.7368459702,0.4613739550,-0.3304620683,0.9999468327,0.7544504404,0.4282203913,-0.3245968223,0.9998902082,0.7633985877,0.4276079535,-0.3250398636,0.9998848438,0.7729019523,0.4277905822,-0.3249583244,0.9998834729,0.7397136092,0.4294270277,-0.2937862873,0.9999353886,0.7368236184,0.4291295707,-0.2944467068,0.9999524355,0.7339573503,0.4280848801,-0.2948853374,0.9999610782,0.8032979965,0.4392883182,-0.2311543077,0.9999543428,0.7470077276,0.4340282381,-0.0887420177,0.9999390841,0.7537004352,0.4891023338,-0.2880088389,0.9999470115,0.7338005304,0.4892116487,-0.2510850132,0.9999452233,0.8678375483,0.6453351974,-0.2374839932,0.9997931719,0.6842644811,0.5773894787,0.0793125182,0.9998018742,0.8035433292,0.8527267575,-0.2935816646,0.9965167642,0.5843036175,0.7410925627,0.0400388427,0.8830494285,0.6358548403,0.9519115090,-0.4158098102,0.9940842986,0.4857261479,0.8457465768,-0.3133443594,0.9884607792,0.5879915953,0.9438938498,-0.4840408266,0.9929605722,0.4426421225,0.8534964323,-0.3922923207,0.9909914732,0.5736513734,0.9159229398,-0.4996304810,0.9946300387,0.4556893110,0.8592769504,-0.4425504506,0.9933671355,0.5771872997,0.9154971242,-0.4209925830,0.9907068014,0.4775317907,0.8699704409,-0.3465611339,0.9913536906,0.7830354571,1.0506269932,-0.0930783525,0.8519124985,0.6698569655,1.0058842897,0.0928576663,0.8982143998,0.7824939489,1.4240499735,-0.0885558501,0.1146884933,0.6593801379,1.3677420616,0.1709470898,0.0253133792,0.7488571405,1.7187193632,0.0878921077,0.0141894063,0.6503151059,1.6809955835,0.4643855095,0.0031712621,0.7618940473,1.7707860470,0.0963805988,0.0224965904,0.6550683379,1.7332129478,0.4859892130,0.0071080020,0.6817707419,1.7750095129,-0.0789165124,0.0249909665,0.6215658784,1.7487187386,0.3543771803,0.0051858691
16,1.0000000000,0.7370021343,0.4581221938,-0.3109663725,0.9999479651,0.7546223998,0.4243204296,-0.3043097854,0.9998915195,0.7634518147,0.4241751432,-0.3047548831,0.9998860359,0.7729082704,0.4248447716,-0.3046673834,0.9998840690,0.7399486899,0.4251060486,-0.2718133628,0.9999369383,0.7370902896,0.4249121249,-0.2724627256,0.9999538064,0.7343187332,0.4242120087,-0.2728924453,0.9999622107,0.8035615683,0.4387424290,-0.2166209668,0.9999541640,0.7477102280,0.4320154190,-0.0678673685,0.9999406934,0.7537924051,0.4857443869,-0.2710850835,0.9999476671,0.7339984775,0.4872180820,-0.2320540845,0.9999467134,0.8683670163,0.6452386379,-0.2315144688,0.9997932911,0.6843117476,0.5773923397,0.0916656256,0.9998105168,0.8034667969,0.8513681293,-0.2905786633,0.9964016080,0.5842683315,0.7409656644,0.0468559116,0.8879443407,0.6358341575,0.9519126415,-0.4136047661,0.9939997792,0.4856207967,0.8459013104,-0.3126058877,0.9893420339,0.5879883170,0.9445291758,-0.4825462103,0.9929497242,0.4418397844,0.8527497649,-0.3922801018,0.9916465878,0.5734109879,0.9165568948,-0.4976482093,0.9946234822,0.4552626312,0.8593335748,-0.4423623383,0.9938513041,0.5767705441,0.9159726501,-0.4186319411,0.9907074571,0.4774696231,0.8698365688,-0.3460029066,0.9919735193,0.7832440734,1.0508832932,-0.0928664207,0.8494017124,0.6700215936,1.0066566467,0.0926675573,0.8977470994,0.7896496058,1.4216291904,-0.0932344422,0.1111700758,0.6604363918,1.3659070730,0.1684250236,0.0240935460,0.7496262193,1.7155584097,0.0941983685,0.0136747807,0.6503109336,1.6785428524,0.4650617540,0.0030622485,0.7620160580,1.7670637369,0.1039311141,0.0215945933,0.6548402309,1.7299053669,0.4873923063,0.0068696332,0.6818922162,1.7730700970,-0.0729717240,0.0242018085,0.6216472983,1.7488646507,0.3548009396,0.0050211414
18,1.0000000000,0.7370336652,0.4557372332,-0.3064221144,0.9999484420,0.7548774481,0.4220642447,-0.3004749119,0.9998916388,0.7636719346,0.4220955968,-0.3009221852,0.9998859763,0.7732130289,0.4230105281,-0.3008352220,0.9998835325,0.7399998307,0.4226311147,-0.2675187290,0.9999377131,0.7371608615,0.4224225283,-0.2681666315,0.9999545813,0.7344442010,0.4218072295,-0.2685970962,0.9999629259,0.8039096594,0.4375217557,-0.2167302072,0.9999535084,0.7480943799,0.4302621484,-0.0662280321,0.9999416471,0.7539656162,0.4828966558,-0.2680061162,0.9999479055,0.7341350913,0.4851261079,-0.2283679098,0.9999477267,0.8688513041,0.6451362371,-0.2320693880,0.9997920394,0.6842836738,0.5774350762,0.0914151222,0.9998174906,0.8034734726,0.8500987291,-0.2897664309,0.9962670803,0.5840930939,0.7409401536,0.0518057831,0.8925060034,0.6358418465,0.9518734217,-0.4124217033,0.9937642217,0.4849058092,0.8462684751,-0.3019725084,0.9901026487,0.5880743861,0.9457276464,-0.4810019732,0.9927561283,0.4406433105,0.8520705104,-0.3810216784,0.9921971560,0.5734040737,0.9171288610,-0.4961090088,0.9944713116,0.4534165263,0.8588673472,-0.4321174622,0.9942594171,0.5767835975,0.9162126184,-0.4174055755,0.9904680252,0.4761627316,0.8690895438,-0.3357746601,0.9924932718,0.7834739089,1.0512374640,-0.0920390338,0.8487511873,0.6700160503,1.0073775053,0.0918117985,0.8982555270,0.7957168221,1.4200989008,-0.0967881456,0.1102493107,0.6635358334,1.3647515774,0.1592551917,0.0235065725,0.7546295524,1.7149056196,0.0991536677,0.0133764995,0.6519165635,1.6783608198,0.4645957649,0.0030109535,0.7660114169,1.7659686804,0.1097088531,0.0209081080,0.6560642123,1.7291492224,0.4873304069,0.0067342469,0.6865785122,1.7741997242,-0.0653048828,0.0236853920,0.6251409054,1.7511228323,0.3551311791,0.0049420926
