frame,left_hand_detection_confidence,right_hand_detection_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_thumb_cmc_x,left_thumb_cmc_y,left_thumb_cmc_z,left_thumb_mcp_x,left_thumb_mcp_y,left_thumb_mcp_z,left_thumb_ip_x,left_thumb_ip_y,left_thumb_ip_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_mcp_x,left_index_mcp_y,left_index_mcp_z,left_index_pip_x,left_index_pip_y,left_index_pip_z,left_index_dip_x,left_index_dip_y,left_index_dip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_mcp_x,left_middle_mcp_y,left_middle_mcp_z,left_middle_pip_x,left_middle_pip_y,left_middle_pip_z,left_middle_dip_x,left_middle_dip_y,left_middle_dip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_mcp_x,left_ring_mcp_y,left_ring_mcp_z,left_ring_pip_x,left_ring_pip_y,left_ring_pip_z,left_ring_dip_x,left_ring_dip_y,left_ring_dip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_mcp_x,left_pinky_mcp_y,left_pinky_mcp_z,left_pinky_pip_x,left_pinky_pip_y,left_pinky_pip_z,left_pinky_dip_x,left_pinky_dip_y,left_pinky_dip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_wrist_x,right_wrist_y,right_wrist_z,right_thumb_cmc_x,right_thumb_cmc_y,right_thumb_cmc_z,right_thumb_mcp_x,right_thumb_mcp_y,right_thumb_mcp_z,right_thumb_ip_x,right_thumb_ip_y,right_thumb_ip_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_mcp_x,right_index_mcp_y,right_index_mcp_z,right_index_pip_x,right_index_pip_y,right_index_pip_z,right_index_dip_x,right_index_dip_y,right_index_dip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_mcp_x,right_middle_mcp_y,right_middle_mcp_z,right_middle_pip_x,right_middle_pip_y,right_middle_pip_z,right_middle_dip_x,right_middle_dip_y,right_middle_dip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_mcp_x,right_ring_mcp_y,right_ring_mcp_z,right_ring_pip_x,right_ring_pip_y,right_ring_pip_z,right_ring_dip_x,right_ring_dip_y,right_ring_dip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_mcp_x,right_pinky_mcp_y,right_pinky_mcp_z,right_pinky_pip_x,right_pinky_pip_y,right_pinky_pip_z,right_pinky_dip_x,right_pinky_dip_y,right_pinky_dip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
0,1.0000000000,1.0000000000,0.6403409243,0.9389243722,0.0000000639,0.6147999167,0.9181420207,0.0040155300,0.5885762572,0.9007296562,0.0034789599,0.5679479241,0.8911578655,0.0018904452,0.5507476926,0.8892747164,-0.0003247706,0.5846106410,0.8898880482,-0.0058368701,0.5539306402,0.8713721633,-0.0131541258,0.5338969231,0.8769745231,-0.0170491561,0.5197333694,0.8864386082,-0.0187732112,0.5882486701,0.8985568285,-0.0120230913,0.5547217727,0.8794814944,-0.0177060869,0.5334349275,0.8861051798,-0.0196073763,0.5192157626,0.8952852488,-0.0209368654,0.5923219323,0.9153482318,-0.0179261211,0.5613613129,0.8985587955,-0.0216896422,0.5407865047,0.9009130001,-0.0225565583,0.5272533894,0.9046065807,-0.0234726761,0.5970392227,0.9401509762,-0.0233965162,0.5740624666,0.9307423234,-0.0258410163,0.5583633780,0.9267756343,-0.0256440211,0.5463883281,0.9239596725,-0.0256741811,0.4796949327,0.8393974304,-0.0000000619,0.4598356783,0.8484477401,-0.0002440402,0.4428865314,0.8419814110,-0.0012861365,0.4359989166,0.8310219049,-0.0031403962,0.4322114587,0.8217595220,-0.0050960500,0.4322238863,0.8066715598,-0.0000764170,0.4187131524,0.8093713522,-0.0058738100,0.4098448157,0.8176662922,-0.0113017140,0.4043338597,0.8270518780,-0.0147675620,0.4383250177,0.7992696166,-0.0037024864,0.4234256148,0.8034962416,-0.0078675626,0.4148549736,0.8148963451,-0.0118738031,0.4104269147,0.8263634443,-0.0146955829,0.4467525482,0.7976015806,-0.0078964485,0.4332316518,0.8039815426,-0.0127891339,0.4269508123,0.8145123720,-0.0151268803,0.4243214428,0.8230542541,-0.0162492599,0.4569501579,0.8023276329,-0.0121816667,0.4471679032,0.8133922219,-0.0163539611,0.4429413974,0.8226940632,-0.0168723427,0.4412777722,0.8292409182,-0.0165673550
2,1.0000000000,1.0000000000,0.6368607879,0.9372542500,0.0000000196,0.6077247262,0.9179360867,0.0042900965,0.5822329521,0.9030791521,0.0028262355,0.5614256859,0.8950739503,0.0001466152,0.5447182655,0.8939894438,-0.0030318843,0.5798259974,0.8898206353,-0.0053940900,0.5508424044,0.8769509196,-0.0148549750,0.5310778618,0.8831143975,-0.0209729057,0.5168536305,0.8920063972,-0.0241714250,0.5850715637,0.8988630772,-0.0124760494,0.5529257655,0.8835644722,-0.0197098721,0.5307058692,0.8910025358,-0.0225245934,0.5152416229,0.9010165930,-0.0243064072,0.5912127495,0.9162629247,-0.0194246545,0.5609250665,0.9024635553,-0.0244596321,0.5394695401,0.9052181840,-0.0253782813,0.5238837600,0.9092447162,-0.0263295881,0.5978997350,0.9407085776,-0.0259865355,0.5777358413,0.9324296117,-0.0301784538,0.5618899465,0.9289575815,-0.0306771491,0.5483295321,0.9267731905,-0.0309792515,0.4785937369,0.8421963453,-0.0000000878,0.4598577321,0.8486081362,-0.0002324419,0.4430126846,0.8475593925,-0.0011404814,0.4314673841,0.8447629809,-0.0028320428,0.4215837419,0.8443343043,-0.0045875451,0.4286988974,0.8231654763,-0.0000553078,0.4117643833,0.8264281154,-0.0066100196,0.4024783075,0.8358144760,-0.0123992898,0.3959999979,0.8460820913,-0.0156763718,0.4325087667,0.8188024759,-0.0033992194,0.4150998890,0.8236499429,-0.0082596270,0.4060468674,0.8348406553,-0.0123889940,0.4002458155,0.8469640613,-0.0148959141,0.4395060241,0.8186423779,-0.0073743300,0.4253508151,0.8281050920,-0.0124285193,0.4175966382,0.8395572305,-0.0162005760,0.4122095406,0.8509461284,-0.0184241757,0.4491909146,0.8233451843,-0.0114198253,0.4403917491,0.8405545354,-0.0160656068,0.4357486367,0.8542546034,-0.0180562083,0.4327837229,0.8668130040,-0.0188744944
4,1.0000000000,1.0000000000,0.6348322034,0.9363394976,0.0000000127,0.6076687574,0.9170044661,0.0045517189,0.5831596851,0.9025952220,0.0033022438,0.5630688071,0.8947041631,0.0008417420,0.5476406217,0.8946981430,-0.0020334509,0.5795297623,0.8908793926,-0.0055742608,0.5494980812,0.8794453740,-0.0149400299,0.5294834971,0.8866543174,-0.0207989886,0.5159280896,0.8971330523,-0.0235670749,0.5841326118,0.9003233314,-0.0124570206,0.5519176126,0.8873084784,-0.0190366954,0.5296623111,0.8956426382,-0.0212848242,0.5146449804,0.9064227939,-0.0225839261,0.5904596448,0.9172673821,-0.0191186611,0.5601855516,0.9057258964,-0.0230848212,0.5395502448,0.9094704986,-0.0237258356,0.5247918367,0.9144184589,-0.0246337540,0.5976402164,0.9403749704,-0.0254267026,0.5790323615,0.9338749647,-0.0289753992,0.5639597774,0.9320716262,-0.0294033084,0.5509997606,0.9313891530,-0.0296056569,0.4752498567,0.8618031740,-0.0000000749,0.4563633502,0.8670416474,0.0001705628,0.4394210875,0.8622519374,-0.0005573817,0.4285074770,0.8547233939,-0.0022559476,0.4200886190,0.8500068784,-0.0039812042,0.4287944436,0.8309705257,0.0004859673,0.4146619737,0.8270039558,-0.0050178929,0.4062184691,0.8332294822,-0.0101168668,0.4009692073,0.8415682912,-0.0133995684,0.4339572191,0.8239124417,-0.0033292777,0.4189074039,0.8218596578,-0.0076863449,0.4100680947,0.8308266401,-0.0117276106,0.4057439566,0.8433060050,-0.0144346450,0.4424465299,0.8210763335,-0.0077209836,0.4293430150,0.8231772780,-0.0128423739,0.4219884276,0.8338643909,-0.0160568021,0.4182833433,0.8461303711,-0.0180040207,0.4539070129,0.8229557872,-0.0121299215,0.4461660087,0.8323023915,-0.0176248755,0.4420374036,0.8456507921,-0.0195763074,0.4400190115,0.8591184616,-0.0203026179
6,1.0000000000,1.0000000000,0.6350871325,0.9351345301,-0.0000000307,0.6082755923,0.9168876410,0.0048929290,0.5834787488,0.9030182362,0.0038630690,0.5630322695,0.8955668211,0.0016620730,0.5475537181,0.8954562545,-0.0009525230,0.5782469511,0.8933070302,-0.0058473051,0.5476002097,0.8865914941,-0.0155907683,0.5282303691,0.8983427882,-0.0216662865,0.5160581470,0.9121649265,-0.0244121701,0.5830097198,0.9021546245,-0.0127771264,0.5500233769,0.8951424956,-0.0192958191,0.5285657048,0.9068739414,-0.0215803478,0.5148051381,0.9193446636,-0.0230258387,0.5897595882,0.9182415605,-0.0195035469,0.5584052205,0.9105498195,-0.0237918459,0.5375825763,0.9173665643,-0.0251934677,0.5231828094,0.9248222113,-0.0267119445,0.5975582600,0.9400036335,-0.0257332511,0.5779877901,0.9367130995,-0.0299772844,0.5631649494,0.9371815920,-0.0312143825,0.5509892702,0.9387867451,-0.0320284478,0.4649761915,0.8452503085,-0.0000000015,0.4483115375,0.8407287002,-0.0000917953,0.4333860874,0.8412626386,-0.0019288250,0.4225180745,0.8466546535,-0.0036142883,0.4133723974,0.8516350985,-0.0057540024,0.4274408519,0.8298736811,-0.0109039880,0.4120982587,0.8342738748,-0.0168045163,0.4031206071,0.8400810361,-0.0205015708,0.3976663351,0.8461062908,-0.0230980217,0.4315065444,0.8337091804,-0.0147534376,0.4159471095,0.8344631791,-0.0207211133,0.4081086814,0.8443404436,-0.0239663105,0.4049932659,0.8545524478,-0.0263588410,0.4395726919,0.8401162028,-0.0182076246,0.4249474406,0.8455861807,-0.0252492391,0.4164064229,0.8546066880,-0.0289976485,0.4118669927,0.8624769449,-0.0315099768,0.4499111474,0.8497152925,-0.0210961979,0.4454206228,0.8686833978,-0.0294908825,0.4426452816,0.8813951612,-0.0328297243,0.4408058524,0.8899244666,-0.0345695242
8,1.0000000000,1.0000000000,0.6340886950,0.9342294335,-0.0000000268,0.6079601645,0.9154878259,0.0056755091,0.5831364989,0.9028712511,0.0049034590,0.5630249977,0.8956835270,0.0026254163,0.5485590696,0.8953194618,-0.0001932521,0.5764605403,0.8941879272,-0.0039944029,0.5459392667,0.8904989958,-0.0131465541,0.5274354219,0.9022901058,-0.0191908255,0.5158281922,0.9163095951,-0.0220205393,0.5812420249,0.9031397104,-0.0112901218,0.5485809445,0.8991029263,-0.0171650667,0.5279047489,0.9112001061,-0.0196908228,0.5143347383,0.9243184328,-0.0214635357,0.5883146524,0.9189662933,-0.0183226708,0.5570242405,0.9133289456,-0.0220647883,0.5368455648,0.9210729599,-0.0232392643,0.5227799416,0.9296280146,-0.0246754717,0.5965911746,0.9405566454,-0.0248411521,0.5770894289,0.9377102852,-0.0284495130,0.5620391965,0.9384706020,-0.0291930996,0.5493690968,0.9405153394,-0.0296914689,0.4679269195,0.8458639979,-0.0000000151,0.4526616335,0.8511450291,0.0023882317,0.4388842583,0.8551802635,0.0018603542,0.4310187697,0.8611974716,0.0007514380,0.4238365889,0.8670267463,-0.0007617119,0.4294527173,0.8343671560,-0.0052094036,0.4141884148,0.8360205293,-0.0103869997,0.4038190842,0.8424749374,-0.0140673434,0.3971414566,0.8501937985,-0.0163498838,0.4332211912,0.8326829672,-0.0100111021,0.4172368050,0.8302661180,-0.0147009119,0.4068304896,0.8390890956,-0.0176116116,0.4008939564,0.8506888747,-0.0193486512,0.4407595098,0.8358497024,-0.0144448895,0.4265805781,0.8401099443,-0.0203331560,0.4179486036,0.8506106734,-0.0242811218,0.4128465652,0.8615748286,-0.0266671758,0.4502239525,0.8447844982,-0.0182397924,0.4449496269,0.8645803332,-0.0249132402,0.4421081841,0.8811123967,-0.0275881253,0.4408942759,0.8946892023,-0.0287924744
10,1.0000000000,1.0000000000,0.6321943998,0.9365985394,-0.0000000294,0.6066951156,0.9163753986,0.0065038395,0.5829490423,0.9032036662,0.0061469250,0.5639960170,0.8951103091,0.0040711639,0.5505869389,0.8931888342,0.0013916859,0.5758311749,0.8953330517,-0.0023744260,0.5459554195,0.8918932676,-0.0106323361,0.5285890698,0.9025550485,-0.0162237771,0.5179198384,0.9160017371,-0.0188358296,0.5802891254,0.9045988321,-0.0098973475,0.5482814908,0.9012165666,-0.0151173826,0.5286538601,0.9127589464,-0.0176120047,0.5158200860,0.9259311557,-0.0194026791,0.5870842934,0.9204967618,-0.0170880854,0.5564174056,0.9156903028,-0.0202093888,0.5369817019,0.9228878617,-0.0213029701,0.5234589577,0.9311616421,-0.0227633547,0.5952270031,0.9418911338,-0.0237058066,0.5759198070,0.9397134185,-0.0267016962,0.5613310337,0.9403543472,-0.0271074194,0.5490431190,0.9422727823,-0.0274362862,0.4683322906,0.8464936018,0.0000000081,0.4559504390,0.8498089314,0.0024127720,0.4428423941,0.8557819724,0.0014431955,0.4363398254,0.8687358499,-0.0001732866,0.4320667684,0.8814076781,-0.0024592220,0.4318433702,0.8356283903,-0.0042194938,0.4156068265,0.8361873031,-0.0086805848,0.4048567414,0.8429238796,-0.0118313590,0.3982713819,0.8506419063,-0.0138240298,0.4337634146,0.8355239630,-0.0087571936,0.4164932370,0.8328949213,-0.0125666084,0.4055546820,0.8427845836,-0.0147291087,0.3998027742,0.8544523716,-0.0158924889,0.4399033189,0.8406715393,-0.0129875746,0.4238637388,0.8428886533,-0.0179080702,0.4134866893,0.8526237607,-0.0216094647,0.4076848030,0.8628771901,-0.0238952190,0.4480240047,0.8510934711,-0.0165460650,0.4427110851,0.8706825972,-0.0223075245,0.4397602081,0.8848196268,-0.0247287210,0.4387344122,0.8966173530,-0.0258337501
12,1.0000000000,1.0000000000,0.6297597885,0.9363523722,-0.0000000364,0.6051001549,0.9168517590,0.0064602881,0.5814990401,0.9041088820,0.0060253968,0.5625512600,0.8965947628,0.0039553377,0.5494356751,0.8956143856,0.0011989055,0.5753737092,0.8952406645,-0.0030502998,0.5455799699,0.8925142884,-0.0109814443,0.5286971331,0.9036979675,-0.0162554327,0.5182738900,0.9167243838,-0.0187621303,0.5799044371,0.9043517709,-0.0104774609,0.5475167632,0.9022312164,-0.0155471200,0.5280613899,0.9141555429,-0.0179342180,0.5151772499,0.9269254804,-0.0197203048,0.5864374042,0.9202924371,-0.0174778160,0.5553821325,0.9168318510,-0.0205677692,0.5359776616,0.9243617654,-0.0217395201,0.5221980214,0.9323751926,-0.0233214330,0.5942216516,0.9414361715,-0.0238552857,0.5747948885,0.9402957559,-0.0268583316,0.5604111552,0.9413306117,-0.0272993110,0.5481843948,0.9430791736,-0.0277182441,0.4668543935,0.8484224081,-0.0000000080,0.4520050287,0.8478323817,0.0028601249,0.4364121258,0.8488935828,0.0024464650,0.4257305861,0.8538848758,0.0016660881,0.4169245064,0.8589987159,0.0004546636,0.4300283194,0.8351392150,-0.0060020890,0.4143025279,0.8358988166,-0.0106324423,0.4035517573,0.8432373405,-0.0134460451,0.3972570300,0.8506305814,-0.0150869898,0.4330533147,0.8362975717,-0.0104538621,0.4165968299,0.8350824118,-0.0144410795,0.4051234424,0.8458589315,-0.0160327703,0.3992157578,0.8583359718,-0.0167982634,0.4395360947,0.8425207138,-0.0144387819,0.4240991175,0.8464884758,-0.0193832871,0.4134959280,0.8570205569,-0.0222696066,0.4077552259,0.8667448163,-0.0239954013,0.4482369423,0.8529996872,-0.0176786892,0.4424981773,0.8739352822,-0.0236164834,0.4389006793,0.8893411160,-0.0260019787,0.4373503923,0.9014454484,-0.0269874930
14,1.0000000000,1.0000000000,0.6289833188,0.9348562956,-0.0000000388,0.6051095128,0.9145536423,0.0067285630,0.5814809799,0.9024924040,0.0063343286,0.5625471473,0.8949798346,0.0041099894,0.5498153567,0.8928921819,0.0010958203,0.5754791498,0.8956509829,-0.0025047138,0.5458979607,0.8941658139,-0.0105845332,0.5287743807,0.9049847126,-0.0160923675,0.5179179311,0.9174336791,-0.0188554842,0.5796567202,0.9048606753,-0.0102576111,0.5473228693,0.9027653337,-0.0158063751,0.5279965997,0.9143483043,-0.0185367037,0.5152276754,0.9269421101,-0.0205245968,0.5860203505,0.9206446409,-0.0176084600,0.5546565652,0.9166150689,-0.0213616677,0.5353221893,0.9244140983,-0.0227665342,0.5218104124,0.9329679012,-0.0243443083,0.5936454535,0.9417135715,-0.0243011080,0.5734962225,0.9398444891,-0.0278859083,0.5585178733,0.9407332540,-0.0286599901,0.5456506014,0.9428209662,-0.0292703211,0.4670207202,0.8476732373,-0.0000000400,0.4517451227,0.8477342129,0.0029493968,0.4363825619,0.8486149311,0.0023613139,0.4252988100,0.8525415063,0.0013314171,0.4163803756,0.8572735786,-0.0000921918,0.4296338260,0.8339434862,-0.0059589562,0.4130551517,0.8361980915,-0.0105575165,0.4021967053,0.8436439633,-0.0133925164,0.3955195546,0.8510900140,-0.0151627557,0.4325650930,0.8354518414,-0.0105637638,0.4161120951,0.8395062685,-0.0151187135,0.4057925940,0.8537153006,-0.0169636793,0.4014737904,0.8686202168,-0.0179004632,0.4388244152,0.8420975804,-0.0146991042,0.4234637320,0.8471485972,-0.0198637303,0.4134506583,0.8568515778,-0.0229790621,0.4085685015,0.8661223054,-0.0249909163,0.4475066066,0.8529537916,-0.0181002468,0.4419327676,0.8739519119,-0.0241915137,0.4387539029,0.8893309236,-0.0267980769,0.4377452433,0.9014240503,-0.0280527771
16,1.0000000000,1.0000000000,0.6283071637,0.9342989326,-0.0000000274,0.6056537032,0.9148086309,0.0063174986,0.5823338032,0.9029324055,0.0059516425,0.5632916093,0.8960278630,0.0039704936,0.5506598949,0.8949961066,0.0012123529,0.5757625699,0.8958456516,-0.0032887249,0.5463557243,0.8935575485,-0.0110072643,0.5294043422,0.9038474560,-0.0161120258,0.5187161565,0.9159687757,-0.0186199453,0.5796359181,0.9046959877,-0.0106378663,0.5474606752,0.9028757215,-0.0158110056,0.5279886723,0.9144080877,-0.0182895754,0.5149498582,0.9270150065,-0.0201034248,0.5857868195,0.9202094674,-0.0175110269,0.5546749234,0.9166495800,-0.0209228452,0.5356407762,0.9242630005,-0.0222762711,0.5221459866,0.9324734211,-0.0238657761,0.5933326483,0.9410808086,-0.0237368960,0.5741088390,0.9397177696,-0.0272099581,0.5597137809,0.9403018355,-0.0279767215,0.5472672582,0.9416245818,-0.0285516921,0.4687948525,0.8489309549,-0.0000000260,0.4535128772,0.8523666859,0.0031790154,0.4381974936,0.8525559306,0.0031158109,0.4272558689,0.8541039228,0.0025845002,0.4179065228,0.8572220802,0.0015716316,0.4309708178,0.8376735449,-0.0051602283,0.4146463275,0.8366804719,-0.0089707896,0.4026718438,0.8418767452,-0.0113440994,0.3946186900,0.8476527929,-0.0129438061,0.4338487089,0.8363196254,-0.0096921343,0.4163995683,0.8362280726,-0.0136141274,0.4048971534,0.8474718332,-0.0156347118,0.3991234601,0.8605954647,-0.0168174244,0.4395098388,0.8398296237,-0.0136335054,0.4224815667,0.8441246152,-0.0183784701,0.4123069942,0.8551757336,-0.0214732364,0.4078558385,0.8661832213,-0.0235221144,0.4472802281,0.8483532667,-0.0168661233,0.4405151606,0.8688196540,-0.0224369541,0.4376196265,0.8847367764,-0.0247893967,0.4372522533,0.8972456455,-0.0259546153
18,1.0000000000,1.0000000000,0.6270540953,0.9346417189,-0.0000000301,0.6051390171,0.9139842391,0.0060039274,0.5819860697,0.9019154906,0.0053876135,0.5630610585,0.8952546120,0.0032789637,0.5501527190,0.8946606517,0.0003455766,0.5755212903,0.8952941895,-0.0044347029,0.5466607809,0.8946548104,-0.0122253019,0.5298161507,0.9047099948,-0.0173476525,0.5188600421,0.9163818955,-0.0199323166,0.5793110728,0.9044372439,-0.0117019601,0.5475782752,0.9036348462,-0.0170280226,0.5282679200,0.9149039984,-0.0194956698,0.5151121020,0.9271404743,-0.0213348437,0.5855109096,0.9199705720,-0.0184333809,0.5548666120,0.9170382023,-0.0220772792,0.5359048247,0.9246057272,-0.0234010257,0.5223879814,0.9326840639,-0.0249540787,0.5931552052,0.9405863881,-0.0245085731,0.5737946033,0.9396509528,-0.0281152856,0.5594397783,0.9404430985,-0.0288023241,0.5470655560,0.9417828321,-0.0293236896,0.4686126709,0.8531576991,0.0000000286,0.4533340037,0.8637479544,0.0010231867,0.4389383197,0.8642083406,-0.0000452430,0.4291109741,0.8627312779,-0.0014940071,0.4204638004,0.8635934591,-0.0033539860,0.4293143451,0.8441697955,-0.0057235570,0.4131060541,0.8407377601,-0.0104902368,0.4009181559,0.8429527879,-0.0138115129,0.3919754624,0.8451442122,-0.0161056574,0.4326477349,0.8384631872,-0.0098340120,0.4152136147,0.8333886862,-0.0143752545,0.4028981924,0.8398971558,-0.0175527185,0.3953385651,0.8478792310,-0.0196120553,0.4390550852,0.8373247981,-0.0136705907,0.4228496253,0.8396267295,-0.0193141047,0.4117444158,0.8506124020,-0.0236415826,0.4055724442,0.8608115315,-0.0264426023,0.4474508762,0.8417668343,-0.0170240793,0.4401807785,0.8594018817,-0.0229764953,0.4364252090,0.8743459582,-0.0256423876,0.4348828793,0.8863121867,-0.0270690117
