frame,left_hand_detection_confidence,right_hand_detection_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_thumb_cmc_x,left_thumb_cmc_y,left_thumb_cmc_z,left_thumb_mcp_x,left_thumb_mcp_y,left_thumb_mcp_z,left_thumb_ip_x,left_thumb_ip_y,left_thumb_ip_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_mcp_x,left_index_mcp_y,left_index_mcp_z,left_index_pip_x,left_index_pip_y,left_index_pip_z,left_index_dip_x,left_index_dip_y,left_index_dip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_mcp_x,left_middle_mcp_y,left_middle_mcp_z,left_middle_pip_x,left_middle_pip_y,left_middle_pip_z,left_middle_dip_x,left_middle_dip_y,left_middle_dip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_mcp_x,left_ring_mcp_y,left_ring_mcp_z,left_ring_pip_x,left_ring_pip_y,left_ring_pip_z,left_ring_dip_x,left_ring_dip_y,left_ring_dip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_mcp_x,left_pinky_mcp_y,left_pinky_mcp_z,left_pinky_pip_x,left_pinky_pip_y,left_pinky_pip_z,left_pinky_dip_x,left_pinky_dip_y,left_pinky_dip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_wrist_x,right_wrist_y,right_wrist_z,right_thumb_cmc_x,right_thumb_cmc_y,right_thumb_cmc_z,right_thumb_mcp_x,right_thumb_mcp_y,right_thumb_mcp_z,right_thumb_ip_x,right_thumb_ip_y,right_thumb_ip_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_mcp_x,right_index_mcp_y,right_index_mcp_z,right_index_pip_x,right_index_pip_y,right_index_pip_z,right_index_dip_x,right_index_dip_y,right_index_dip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_mcp_x,right_middle_mcp_y,right_middle_mcp_z,right_middle_pip_x,right_middle_pip_y,right_middle_pip_z,right_middle_dip_x,right_middle_dip_y,right_middle_dip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_mcp_x,right_ring_mcp_y,right_ring_mcp_z,right_ring_pip_x,right_ring_pip_y,right_ring_pip_z,right_ring_dip_x,right_ring_dip_y,right_ring_dip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_mcp_x,right_pinky_mcp_y,right_pinky_mcp_z,right_pinky_pip_x,right_pinky_pip_y,right_pinky_pip_z,right_pinky_dip_x,right_pinky_dip_y,right_pinky_dip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
0,1.0000000000,1.0000000000,0.6403354974,0.9389265176,0.0000000639,0.6147999167,0.9181420207,0.0040155300,0.5885762572,0.9007296562,0.0034789599,0.5679461966,0.8911562479,0.0018905799,0.5507466188,0.8892729415,-0.0003250762,0.5846079635,0.8898868300,-0.0058365140,0.5539306402,0.8713721633,-0.0131541258,0.5338969231,0.8769745231,-0.0170491561,0.5197332378,0.8864368419,-0.0187721634,0.5882486701,0.8985568285,-0.0120230913,0.5547217727,0.8794814944,-0.0177060869,0.5334349275,0.8861051798,-0.0196073763,0.5192144774,0.8952857169,-0.0209366692,0.5923219323,0.9153482318,-0.0179261211,0.5613613129,0.8985587955,-0.0216896422,0.5407865047,0.9009130001,-0.0225565583,0.5272521598,0.9046075145,-0.0234732028,0.5970392227,0.9401509762,-0.0233965162,0.5740624666,0.9307423234,-0.0258410163,0.5583633780,0.9267756343,-0.0256440211,0.5463876055,0.9239602460,-0.0256739326,0.4796884552,0.8393954830,-0.0000000618,0.4598356783,0.8484477401,-0.0002440402,0.4428865314,0.8419814110,-0.0012861365,0.4360150165,0.8310428807,-0.0031501129,0.4322360355,0.8217961312,-0.0051089758,0.4322236933,0.8066684736,-0.0000786673,0.4187131524,0.8093713522,-0.0058738100,0.4098448157,0.8176662922,-0.0113017140,0.4043346166,0.8270571138,-0.0147707388,0.4383250177,0.7992696166,-0.0037024864,0.4234256148,0.8034962416,-0.0078675626,0.4148549736,0.8148963451,-0.0118738031,0.4104278818,0.8263714763,-0.0146963381,0.4467525482,0.7976015806,-0.0078964485,0.4332316518,0.8039815426,-0.0127891339,0.4269508123,0.8145123720,-0.0151268803,0.4243192619,0.8230613054,-0.0162488334,0.4569501579,0.8023276329,-0.0121816667,0.4471679032,0.8133922219,-0.0163539611,0.4429413974,0.8226940632,-0.0168723427,0.4412751519,0.8292439627,-0.0165654218
1,1.0000000000,1.0000000000,0.6382690011,0.9375281166,0.0000000439,0.6088739038,0.9161798358,0.0045732576,0.5832490325,0.9010528922,0.0034922911,0.5653578306,0.8926222351,0.0013117171,0.5486081505,0.8910853157,-0.0012779620,0.5825683651,0.8897013299,-0.0056455909,0.5522332788,0.8725117445,-0.0135324281,0.5325486660,0.8773664832,-0.0192851666,0.5184202538,0.8883724046,-0.0210615868,0.5861086249,0.8974060416,-0.0115233259,0.5549135804,0.8786090016,-0.0186460465,0.5328512192,0.8844588995,-0.0216424577,0.5176625704,0.8970918864,-0.0223863116,0.5916296244,0.9143406153,-0.0182331502,0.5622568727,0.8979636431,-0.0231659729,0.5404499173,0.8995145559,-0.0242516883,0.5260734246,0.9059495543,-0.0246444547,0.5971344709,0.9382035732,-0.0244889371,0.5751494765,0.9294549823,-0.0281281695,0.5585820079,0.9251104593,-0.0283220243,0.5474915105,0.9250044976,-0.0279117397,0.4787531634,0.8452047001,-0.0000000747,0.4650794268,0.8497640491,0.0002764814,0.4465903640,0.8471049070,-0.0000379335,0.4327861074,0.8399797737,-0.0023579895,0.4261026508,0.8342703575,-0.0040723584,0.4306914703,0.8168987863,0.0003628227,0.4154551029,0.8255537748,-0.0033874067,0.4074908793,0.8346018195,-0.0083532501,0.4019354686,0.8353455519,-0.0139413370,0.4353828728,0.8171703219,-0.0009978849,0.4177765846,0.8240797520,-0.0047112727,0.4119606912,0.8337624073,-0.0079153096,0.4075558506,0.8355223396,-0.0139244131,0.4417745173,0.8147639036,-0.0047004675,0.4256913364,0.8248342276,-0.0082201846,0.4205299020,0.8339762092,-0.0101820622,0.4196561734,0.8348341219,-0.0162621766,0.4515276551,0.8162429333,-0.0085340217,0.4411375821,0.8325058222,-0.0117905708,0.4370166957,0.8430067897,-0.0126391603,0.4378788171,0.8436364543,-0.0173662509
2,1.0000000000,1.0000000000,0.6365987505,0.9364946641,0.0000000277,0.6079509854,0.9170435071,0.0042338897,0.5823388100,0.9024327993,0.0026333015,0.5636426357,0.8938701178,0.0009586846,0.5473123099,0.8926914937,-0.0018511929,0.5810120598,0.8898248393,-0.0055210052,0.5507776737,0.8770523667,-0.0165456422,0.5306133032,0.8832278848,-0.0226132795,0.5174699523,0.8909978665,-0.0226175239,0.5854395628,0.8992988467,-0.0139988149,0.5530762076,0.8829432726,-0.0217049532,0.5304070711,0.8902598619,-0.0246245805,0.5164794610,0.8997209267,-0.0231468298,0.5915884376,0.9166343808,-0.0210093278,0.5614809990,0.9019521475,-0.0263674408,0.5395656824,0.9041307569,-0.0276192948,0.5252944603,0.9081252201,-0.0252539180,0.5981971622,0.9407527447,-0.0275947899,0.5784518719,0.9320452213,-0.0321761444,0.5625333786,0.9285752773,-0.0330773704,0.5487821172,0.9266658111,-0.0293714035,0.4772257299,0.8508772133,-0.0000000808,0.4561415613,0.8572679758,0.0010179274,0.4385638535,0.8547924757,0.0003579236,0.4301925210,0.8477207131,-0.0019045636,0.4215629940,0.8444647062,-0.0034699557,0.4294178083,0.8249987382,0.0003931112,0.4107640386,0.8292745352,-0.0065282234,0.4016512632,0.8371424675,-0.0117104417,0.4000420349,0.8409965083,-0.0135582757,0.4318107665,0.8218159676,-0.0049586790,0.4146771431,0.8254746199,-0.0093072318,0.4054281712,0.8360485435,-0.0130753536,0.4052761473,0.8419149367,-0.0138055478,0.4400033355,0.8203617930,-0.0096396357,0.4250932634,0.8276383281,-0.0143347280,0.4164877236,0.8393803835,-0.0177715402,0.4162678316,0.8435472188,-0.0168724821,0.4505749047,0.8240323663,-0.0142397471,0.4403150678,0.8392731547,-0.0188786983,0.4349592328,0.8524451852,-0.0208593681,0.4360519929,0.8549006623,-0.0185667101
3,1.0000000000,1.0000000000,0.6354781619,0.9359164031,0.0000000153,0.6084746718,0.9166089296,0.0048329425,0.5841200948,0.9018156528,0.0039855698,0.5629669570,0.8948769368,0.0008901176,0.5470240202,0.8941009304,-0.0019561587,0.5800004025,0.8903029396,-0.0054791169,0.5508562326,0.8789093494,-0.0127813639,0.5311948061,0.8854532838,-0.0181607492,0.5169691328,0.8945919876,-0.0233235801,0.5845652223,0.8997157812,-0.0112231374,0.5527772903,0.8867980242,-0.0169863030,0.5310789943,0.8944319487,-0.0191711783,0.5157890378,0.9033891451,-0.0231600452,0.5905147791,0.9167950749,-0.0178539772,0.5603798032,0.9058086276,-0.0212305170,0.5400647521,0.9086523652,-0.0217604991,0.5249682735,0.9113252908,-0.0252849517,0.5973402262,0.9401789308,-0.0241289139,0.5785204172,0.9338628650,-0.0270727389,0.5637131929,0.9315201044,-0.0271199271,0.5500363056,0.9290412346,-0.0299301594,0.4751596162,0.8553978564,-0.0000000767,0.4584433734,0.8627531528,0.0001578907,0.4417667389,0.8593858480,-0.0007327044,0.4286945762,0.8537542146,-0.0018257971,0.4193317282,0.8519192407,-0.0033334468,0.4286073778,0.8304473616,-0.0002350128,0.4155856371,0.8274011016,-0.0055734515,0.4057715237,0.8327729106,-0.0106401993,0.3988676902,0.8434633066,-0.0137454268,0.4348882735,0.8230978251,-0.0040340167,0.4187600911,0.8224644661,-0.0085071726,0.4092825353,0.8305236101,-0.0125628514,0.4039901980,0.8450523055,-0.0145188548,0.4421795607,0.8207498193,-0.0084695332,0.4273806810,0.8240708709,-0.0134784821,0.4193948507,0.8339610696,-0.0165938847,0.4145806495,0.8487297291,-0.0182154076,0.4526964128,0.8232142329,-0.0129568651,0.4439296424,0.8326283097,-0.0183520745,0.4392607510,0.8449593782,-0.0202738196,0.4362610634,0.8628657229,-0.0201885668
4,1.0000000000,1.0000000000,0.6347928218,0.9356111545,0.0000000043,0.6081525087,0.9179860353,0.0043245899,0.5833795667,0.9039496779,0.0031509022,0.5628905568,0.8956638719,0.0010224131,0.5473095516,0.8953105078,-0.0017646030,0.5792448396,0.8910130520,-0.0055029641,0.5510985851,0.8795387149,-0.0149019798,0.5311517715,0.8864380717,-0.0205498766,0.5167243004,0.8991338762,-0.0235769614,0.5850117207,0.9004996419,-0.0124973450,0.5532785058,0.8871988058,-0.0190811586,0.5311618447,0.8952246308,-0.0213777814,0.5154127158,0.9079123860,-0.0228974213,0.5911961794,0.9174578190,-0.0189304855,0.5611649752,0.9062163234,-0.0229763798,0.5405963063,0.9096368551,-0.0236631744,0.5247890782,0.9152609874,-0.0251959650,0.5982391834,0.9406628013,-0.0250065625,0.5793730021,0.9341076016,-0.0286891460,0.5642555356,0.9320322275,-0.0292015262,0.5508605372,0.9318571043,-0.0300844971,0.4731197193,0.8573245902,-0.0000000625,0.4543053210,0.8681830168,0.0000607487,0.4377566278,0.8636857271,-0.0004597244,0.4284419713,0.8582538166,-0.0019316124,0.4191880397,0.8576901486,-0.0034452906,0.4283489167,0.8339818043,-0.0015969557,0.4141796827,0.8257296681,-0.0033949881,0.4061137140,0.8329367042,-0.0090182740,0.3980725728,0.8439962014,-0.0144757641,0.4325392842,0.8205520511,-0.0013486670,0.4184073508,0.8216640949,-0.0047047921,0.4101299345,0.8305687308,-0.0086693885,0.4034667083,0.8464782075,-0.0160139625,0.4408976138,0.8177104592,-0.0055927811,0.4284982085,0.8228615522,-0.0096867308,0.4211215079,0.8334578872,-0.0128685758,0.4139850131,0.8522601958,-0.0202682571,0.4520932436,0.8209354281,-0.0099678356,0.4449716508,0.8333911300,-0.0144475671,0.4410805702,0.8467555642,-0.0161219686,0.4377394734,0.8697847034,-0.0222290983
5,1.0000000000,1.0000000000,0.6343088423,0.9353873654,-0.0000000070,0.6078473330,0.9181250334,0.0045590578,0.5833036900,0.9043934345,0.0036076414,0.5629622008,0.8961507611,0.0012953418,0.5477376956,0.8961297148,-0.0014375282,0.5784931226,0.8918435351,-0.0055033979,0.5490760207,0.8834810853,-0.0145817641,0.5295318365,0.8924852014,-0.0204830375,0.5165410095,0.9042715745,-0.0236579972,0.5834033489,0.9008204341,-0.0120426901,0.5518631339,0.8918107748,-0.0181653518,0.5300946832,0.9013576508,-0.0204818789,0.5151370637,0.9128955802,-0.0227128030,0.5903331637,0.9172014594,-0.0185619164,0.5604340434,0.9083865285,-0.0224760436,0.5397204757,0.9133247137,-0.0235409737,0.5244588232,0.9195068504,-0.0252854417,0.5980294347,0.9397172332,-0.0246678982,0.5789541006,0.9349833727,-0.0284599755,0.5638199449,0.9343563318,-0.0292210355,0.5510886907,0.9347601572,-0.0302367198,0.4716179622,0.8561476230,-0.0000000425,0.4517790377,0.8614898920,-0.0005670206,0.4369014502,0.8605628014,-0.0013923269,0.4293180784,0.8614944255,-0.0020586672,0.4205401654,0.8626617586,-0.0036648568,0.4286443571,0.8361044329,-0.0034088086,0.4128356874,0.8360738158,-0.0114096608,0.4036255181,0.8397046924,-0.0142296180,0.3972256020,0.8439785160,-0.0156137114,0.4313352108,0.8357684612,-0.0107300607,0.4165167212,0.8296287060,-0.0153540783,0.4079429805,0.8376656771,-0.0185185168,0.4030822168,0.8477521956,-0.0179962612,0.4400850832,0.8347344995,-0.0139703788,0.4265301824,0.8351694942,-0.0203698743,0.4181129932,0.8445578218,-0.0242562685,0.4136125281,0.8558203127,-0.0227646751,0.4516423345,0.8379030228,-0.0167662371,0.4464126825,0.8523656726,-0.0243620127,0.4429076612,0.8666449189,-0.0272586327,0.4393455354,0.8771442221,-0.0245582530
6,1.0000000000,1.0000000000,0.6338363507,0.9352238421,-0.0000000178,0.6077356935,0.9162619114,0.0046787052,0.5830821991,0.9027400613,0.0035403932,0.5630092196,0.8963170487,0.0017238661,0.5481699478,0.8964229336,-0.0009977169,0.5777331636,0.8927332554,-0.0053270643,0.5473836660,0.8863387704,-0.0154660353,0.5285943747,0.8975476027,-0.0214832593,0.5164310666,0.9091859470,-0.0234682969,0.5825691819,0.9017234445,-0.0127542578,0.5501782298,0.8954147100,-0.0191421788,0.5287975669,0.9069960117,-0.0216046851,0.5149601223,0.9176390115,-0.0225424903,0.5895643234,0.9180459976,-0.0193299837,0.5588289499,0.9108964801,-0.0235398840,0.5381542444,0.9174516201,-0.0249101818,0.5239807803,0.9235368695,-0.0253874392,0.5975282788,0.9402249455,-0.0254201293,0.5782985687,0.9372144341,-0.0295391306,0.5634531975,0.9374052286,-0.0305881444,0.5508154963,0.9373725230,-0.0303056667,0.4704671890,0.8528883624,-0.0000000239,0.4550518692,0.8607082367,0.0003873759,0.4396407604,0.8634195924,-0.0009740024,0.4307766145,0.8633993736,-0.0021619057,0.4226220177,0.8666818467,-0.0039498968,0.4292199372,0.8367175980,-0.0051283763,0.4149570763,0.8350434899,-0.0104424180,0.4038408101,0.8392764926,-0.0148984892,0.3963875569,0.8442167949,-0.0168243522,0.4337896407,0.8329162002,-0.0090320613,0.4180850685,0.8302757740,-0.0148576619,0.4080336690,0.8389123678,-0.0187264290,0.4025043053,0.8493436418,-0.0198017144,0.4413859844,0.8336949944,-0.0130466344,0.4260945916,0.8393458128,-0.0193888843,0.4173185229,0.8511018753,-0.0234343391,0.4130801748,0.8593449005,-0.0250426065,0.4509224296,0.8402676582,-0.0167782195,0.4442251325,0.8599032760,-0.0231874641,0.4409526885,0.8757724762,-0.0259138457,0.4403713929,0.8842401763,-0.0267053464
7,1.0000000000,1.0000000000,0.6332897494,0.9352010326,-0.0000000264,0.6067190766,0.9167025089,0.0055773449,0.5827279687,0.9039226770,0.0046542869,0.5630328978,0.8962919035,0.0023066630,0.5486176661,0.8962633328,-0.0004257800,0.5770724928,0.8936362534,-0.0048805131,0.5463508964,0.8884106874,-0.0144835385,0.5276841521,0.8996791244,-0.0205181502,0.5165488468,0.9129947978,-0.0228039052,0.5817008615,0.9022098780,-0.0123177394,0.5492367744,0.8970263004,-0.0186125506,0.5282719731,0.9088418484,-0.0210991707,0.5150008091,0.9214391147,-0.0221458074,0.5889306068,0.9182292819,-0.0192337390,0.5578797460,0.9122567773,-0.0232630484,0.5374659300,0.9194175601,-0.0243636724,0.5235616379,0.9268539982,-0.0251865428,0.5972132683,0.9396863580,-0.0256068874,0.5776947737,0.9369918704,-0.0294932518,0.5626860857,0.9375644922,-0.0301652346,0.5502570372,0.9394172833,-0.0300215279,0.4688188275,0.8492640266,-0.0000000111,0.4593533576,0.8557120562,0.0016032056,0.4450797737,0.8598727584,0.0006604713,0.4317449990,0.8637933208,-0.0022657499,0.4243283639,0.8691701327,-0.0042670463,0.4294478215,0.8360338746,-0.0064438381,0.4162638783,0.8336807489,-0.0100959465,0.4040991664,0.8379750252,-0.0140333530,0.3959078342,0.8451953854,-0.0177885756,0.4365040958,0.8329268098,-0.0093721794,0.4185341299,0.8290539980,-0.0149279721,0.4069136381,0.8387328386,-0.0186269972,0.4018414540,0.8511157425,-0.0208879429,0.4434501529,0.8345472813,-0.0134670325,0.4260918796,0.8383563161,-0.0196557920,0.4164107740,0.8510935903,-0.0237781424,0.4124184337,0.8619447086,-0.0266232266,0.4521906376,0.8423568606,-0.0170322731,0.4445980489,0.8612102866,-0.0232643485,0.4412331283,0.8766507506,-0.0257151071,0.4406285556,0.8898087764,-0.0283437241
8,1.0000000000,1.0000000000,0.6325972849,0.9353745849,-0.0000000317,0.6071669459,0.9158813953,0.0057676942,0.5824683309,0.9030183554,0.0049903230,0.5630513504,0.8962007844,0.0029550385,0.5490718413,0.8958118931,0.0002171633,0.5765495583,0.8944529104,-0.0042350659,0.5460869670,0.8900300860,-0.0138265239,0.5277186036,0.9019942284,-0.0199042540,0.5169812970,0.9152939488,-0.0216807516,0.5816264749,0.9034290910,-0.0119461324,0.5487398505,0.8991228938,-0.0179592278,0.5281919241,0.9111046791,-0.0205761306,0.5152644638,0.9240207962,-0.0214459349,0.5887259245,0.9192187190,-0.0189638399,0.5571696758,0.9132030606,-0.0228635762,0.5368153453,0.9208329916,-0.0241986159,0.5233382406,0.9292297110,-0.0246134777,0.5968272686,0.9403472543,-0.0254028421,0.5764827728,0.9378107190,-0.0291498173,0.5614669919,0.9386820197,-0.0299405307,0.5496476253,0.9408398522,-0.0293348643,0.4662351711,0.8464964034,-0.0000000041,0.4496223927,0.8436772227,-0.0008765190,0.4381549656,0.8492791057,-0.0029523238,0.4313669651,0.8630180227,-0.0024240473,0.4246936440,0.8701123906,-0.0046365558,0.4288877607,0.8348649540,-0.0073274435,0.4127337337,0.8336004019,-0.0147803174,0.4026232362,0.8393095732,-0.0181403030,0.3959285056,0.8470585685,-0.0184106649,0.4312178195,0.8334740400,-0.0132646356,0.4158702195,0.8330119252,-0.0178727396,0.4071394503,0.8430755734,-0.0205664635,0.4013496568,0.8529889152,-0.0212202864,0.4384658635,0.8402698636,-0.0162357129,0.4242485762,0.8444017172,-0.0223204289,0.4167329669,0.8542402387,-0.0257843826,0.4117359254,0.8634152846,-0.0275142004,0.4479124248,0.8516502976,-0.0187834706,0.4435439110,0.8705262542,-0.0264460593,0.4417430460,0.8841909170,-0.0293776114,0.4401809264,0.8935388547,-0.0294675158
9,1.0000000000,1.0000000000,0.6316321772,0.9356815162,-0.0000000342,0.6072386503,0.9166649580,0.0063716695,0.5830802917,0.9042173028,0.0059597776,0.5630180655,0.8960533413,0.0035092856,0.5494396577,0.8952245438,0.0007640363,0.5761047511,0.8950203252,-0.0036268223,0.5462437272,0.8910856247,-0.0115290247,0.5288997889,0.9025771618,-0.0169756692,0.5175929026,0.9162660954,-0.0204545411,0.5812556148,0.9047845006,-0.0104929926,0.5485281944,0.9004503489,-0.0158812907,0.5288723707,0.9124741554,-0.0182301737,0.5155689046,0.9255240884,-0.0206923905,0.5879154801,0.9204397798,-0.0174488090,0.5566109419,0.9149354696,-0.0206112526,0.5371279716,0.9224147797,-0.0216007791,0.5232422816,0.9307246559,-0.0239753267,0.5957842469,0.9415698647,-0.0238122437,0.5760601163,0.9391714334,-0.0268923528,0.5613568425,0.9398676157,-0.0273590665,0.5491359993,0.9417158610,-0.0285753637,0.4631713911,0.8448977444,-0.0000000010,0.4460857511,0.8476523161,0.0024335245,0.4309863150,0.8497527242,0.0017303599,0.4296059676,0.8617226023,-0.0027334146,0.4234789725,0.8700328939,-0.0051821270,0.4276608810,0.8338198511,-0.0078988814,0.4118540883,0.8358236551,-0.0123222508,0.4021658003,0.8430041075,-0.0156549476,0.3962085711,0.8493407559,-0.0188652176,0.4311524630,0.8346134424,-0.0117548285,0.4164621532,0.8320425153,-0.0165093802,0.4062787592,0.8424142003,-0.0188612808,0.4012015418,0.8551522611,-0.0211837800,0.4393137097,0.8389790058,-0.0160717927,0.4265618324,0.8412479758,-0.0219352245,0.4171508551,0.8522478938,-0.0256145634,0.4111590927,0.8645029864,-0.0279485625,0.4491553605,0.8479464650,-0.0196610596,0.4445213675,0.8666688204,-0.0264450964,0.4409313500,0.8830188513,-0.0293815583,0.4392397472,0.8959378057,-0.0301609714
