frame,pose_detection_confidence,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,1.0000000000,0.3266991079,0.3790009618,-1.0222731829,0.9981842637,0.3544552326,0.3603804410,-0.9847925901,0.9941568375,0.3760969341,0.3602130115,-0.9857615232,0.9936354160,0.3966867328,0.3614392281,-0.9858466387,0.9947121143,0.3141817153,0.3652074635,-0.9559028149,0.9963781238,0.3067851961,0.3668158948,-0.9572560787,0.9971098304,0.3007938564,0.3678821027,-0.9583388567,0.9977214932,0.4342658520,0.3782875836,-0.7144809961,0.9979549646,0.3098202944,0.3810013235,-0.5804316401,0.9972434044,0.3711286485,0.4023030698,-0.9113852382,0.9991545677,0.3242931664,0.4044490755,-0.8792760372,0.9990390539,0.5913938880,0.5402828455,-0.5512824655,0.9996421337,0.2125219405,0.5451094508,-0.3483028114,0.9991611242,0.7172450423,0.7239378095,-0.4853382111,0.9965617061,0.1553949714,0.7362655401,-0.3351245224,0.9654896855,0.7953573465,0.9124575853,-0.7302039266,0.9755154848,0.0795819908,0.9136342406,-0.7135234475,0.9455868006,0.7996557951,0.9706491828,-0.8268560767,0.9484425187,0.0607087426,0.9663158655,-0.8392071724,0.8967698812,0.7668455839,0.9779295325,-0.9580559134,0.9580146074,0.0627057105,0.9719218612,-0.9604165554,0.9155255556,0.7514164448,0.9590928555,-0.7856391072,0.9534218907,0.0805022418,0.9577426314,-0.7773725986,0.9167990685,0.5239545107,0.8960243464,-0.0492220446,0.9918414354,0.2916488051,0.8928844333,0.0485052727,0.9926306009,0.5366656184,1.1636432409,0.0901023597,0.4601775706,0.2726975977,1.1291878223,0.0094093140,0.4435782731,0.4911710918,1.3812450171,0.6654358506,0.1522384435,0.2746625245,1.3589999676,0.6341409087,0.1330098212,0.4999284148,1.4096612930,0.6979367733,0.0484593138,0.2816572487,1.3890135288,0.6815420985,0.0577828623,0.4016138315,1.4557892084,0.2598777413,0.1068912670,0.2740254402,1.4404482841,0.3007737100,0.0982054770
1,1.0000000000,0.3285286129,0.3774524927,-1.0066353083,0.9982942343,0.3549368382,0.3598388433,-0.9587331414,0.9945378900,0.3760055304,0.3598966897,-0.9598526359,0.9940702915,0.3955394328,0.3610429466,-0.9599443078,0.9950935841,0.3156964183,0.3642991185,-0.9443178177,0.9966040850,0.3073917925,0.3663549423,-0.9456431270,0.9972867370,0.3008058369,0.3677638769,-0.9466680884,0.9978580475,0.4337421656,0.3771512806,-0.6551331282,0.9980890751,0.3097674251,0.3809429705,-0.5808813572,0.9973474145,0.3711207211,0.4005187154,-0.8851722479,0.9992094636,0.3242673278,0.4032413661,-0.8722565770,0.9990992546,0.5920416713,0.5396561027,-0.4573355317,0.9996656179,0.2092755139,0.5453945994,-0.3701835871,0.9991852641,0.7170822024,0.7211166620,-0.2936139703,0.9963797331,0.1552354693,0.7385446429,-0.3611892462,0.9620975256,0.7899890542,0.9070139527,-0.5456163287,0.9761459231,0.0762650296,0.9188464880,-0.7438113689,0.9285292029,0.7951285839,0.9690513015,-0.6305704713,0.9499455094,0.0560518429,0.9677860737,-0.8773263097,0.8732210994,0.7581355572,0.9736374617,-0.7737656236,0.9593002796,0.0590653270,0.9735485315,-0.9975612164,0.8950437307,0.7408650517,0.9529891014,-0.6042602658,0.9547168016,0.0761471316,0.9592644572,-0.8083804846,0.8976133466,0.5320039988,0.9022066593,0.0168109946,0.9920707941,0.2898668349,0.9014708996,-0.0175058562,0.9928896427,0.5674431324,1.1659916639,0.2753102183,0.4476587176,0.2913867235,1.1401382685,-0.0570183843,0.4649916589,0.5025999546,1.3221262693,1.2459332943,0.1418798417,0.2761271298,1.3921958208,0.4920328557,0.1524134725,0.5088982582,1.3354030848,1.3231697083,0.0456466265,0.2805585861,1.4245575666,0.5308374166,0.0600774772,0.4068342447,1.3808877468,0.9654412866,0.1007424220,0.3039294481,1.4722772837,0.0817991868,0.1101862863
2,1.0000000000,0.3307316899,0.3763821423,-1.0999063253,0.9984450936,0.3558737040,0.3592711985,-1.0295791626,0.9950395823,0.3760033548,0.3595776558,-1.0306501389,0.9946213365,0.3950126171,0.3607212305,-1.0308530331,0.9955531955,0.3174119890,0.3633211851,-1.0305790901,0.9969148636,0.3081411123,0.3657644987,-1.0317267179,0.9975357056,0.3008466661,0.3675535321,-1.0324902534,0.9980540872,0.4333339632,0.3765321076,-0.6620589495,0.9982681870,0.3093411922,0.3809189200,-0.6346538663,0.9975774288,0.3711340725,0.3998124897,-0.9461922050,0.9992832541,0.3244028091,0.4024419487,-0.9525082111,0.9991832972,0.5913236737,0.5386933088,-0.3932407200,0.9996935129,0.2054484785,0.5454840660,-0.4456366897,0.9992534518,0.7165735960,0.7112562060,-0.2136127949,0.9960950017,0.1501582861,0.7425065637,-0.4255176187,0.9635651708,0.7741689086,0.8745912313,-0.5767272115,0.9772801995,0.0724066198,0.9294323921,-0.8180611730,0.9306381941,0.7821590900,0.9334425926,-0.6769803762,0.9526582956,0.0538113564,0.9778542519,-0.9529584050,0.8775399327,0.7419361472,0.9387037754,-0.8175307512,0.9614055753,0.0587794706,0.9830279350,-1.0757371187,0.8984004855,0.7203107476,0.9200822711,-0.6367201209,0.9568961263,0.0756262913,0.9670643210,-0.8789797425,0.8997014761,0.5332692862,0.9009916186,0.0705059469,0.9927325249,0.2881204784,0.9019435048,-0.0714831799,0.9935009480,0.6953327656,1.0045881271,-0.7280516624,0.4986365736,0.2901346684,1.1543581486,-0.2326464057,0.5134690404,0.4899127781,1.1486840248,0.4421076477,0.1490979642,0.2886480093,1.4012404680,0.4886153638,0.2176552564,0.4558453560,1.1470875740,0.5582376719,0.0581396744,0.2893225253,1.4320383072,0.5470127463,0.0915233195,0.3919718266,1.2023947239,0.2833359540,0.1126391739,0.3287331760,1.4816164970,0.1120971069,0.1602900475
3,1.0000000000,0.3341850042,0.3746838272,-0.8954576850,0.9983794093,0.3574937582,0.3576515913,-0.8207275271,0.9948810339,0.3763846159,0.3581560254,-0.8215816021,0.9945412874,0.3951071501,0.3592265248,-0.8218478560,0.9955298901,0.3196081519,0.3613839149,-0.8107247353,0.9968079329,0.3092314005,0.3642652035,-0.8117988706,0.9974574447,0.3010798693,0.3665842414,-0.8124918342,0.9979993701,0.4335362613,0.3748777211,-0.4579483569,0.9982214570,0.3084386587,0.3805587888,-0.3896920681,0.9973066449,0.3724156618,0.3985848427,-0.7541769147,0.9992955923,0.3254972696,0.4012561440,-0.7441539168,0.9992031455,0.5911350846,0.5370813012,-0.2699269652,0.9997121096,0.1995479465,0.5454338193,-0.2298825532,0.9993069768,0.7149531841,0.7001404762,-0.2756903470,0.9948682785,0.1456738859,0.7425435781,-0.2066922039,0.9638116360,0.7508317828,0.8283062577,-0.7956743836,0.9765206575,0.0720188543,0.9343937039,-0.5760454535,0.9326401353,0.7607867718,0.8920435905,-0.9405272603,0.9525206089,0.0538806468,0.9828909636,-0.6971246600,0.8815689683,0.7111569047,0.8886060715,-1.0536236763,0.9609251618,0.0631251931,0.9877462983,-0.8243163228,0.9012737870,0.6909599304,0.8675719500,-0.8510126472,0.9559724927,0.0805760249,0.9707603455,-0.6381768584,0.9012071490,0.5329164267,0.9000944495,0.0411803648,0.9933337569,0.2831579745,0.9054210186,-0.0421218313,0.9940491915,0.7153557539,0.9102728367,-1.2699074745,0.5412733555,0.2901216745,1.1534719467,-0.2224708945,0.5403819680,0.4963009059,1.1471614838,-0.4598905742,0.1466712952,0.2864776552,1.4218914509,0.4084388018,0.2491607815,0.4625833929,1.1545948982,-0.3867777288,0.0596129932,0.2845097780,1.4549145699,0.4587519467,0.0976729989,0.3911641240,1.2298752069,-0.7396548390,0.1117544919,0.3243387043,1.5092530251,0.0277650524,0.1716458946
4,1.0000000000,0.3458051682,0.3743119240,-0.9361143112,0.9984738827,0.3640665412,0.3567071259,-0.8790464401,0.9951688051,0.3818347454,0.3572473824,-0.8799801469,0.9948672652,0.4003460705,0.3583897948,-0.8801648021,0.9958031178,0.3270554245,0.3606768548,-0.8605654836,0.9969695210,0.3147584796,0.3638076186,-0.8617910147,0.9975745678,0.3048651218,0.3663330376,-0.8626434803,0.9980682731,0.4346314371,0.3744847775,-0.5323118567,0.9983183742,0.3083966672,0.3807780147,-0.4656678736,0.9973424673,0.3824054897,0.3983852863,-0.8080185652,0.9993386269,0.3340440392,0.4011393487,-0.7899910212,0.9992457032,0.5904792547,0.5361921191,-0.3643043041,0.9997340441,0.1969897151,0.5454550385,-0.2721223831,0.9993302226,0.7161424160,0.6898747087,-0.7114499211,0.9949612617,0.1389212757,0.7431137562,-0.2697876990,0.9638474584,0.7140066028,0.7744149566,-1.6182768345,0.9781491160,0.0721055046,0.9388316274,-0.8208370805,0.9329664111,0.7226034999,0.8341351748,-1.8466562033,0.9562662840,0.0541955829,0.9870461226,-0.9943246841,0.8839904070,0.6524417400,0.8242846727,-1.9297474623,0.9639822245,0.0768053383,0.9908872843,-1.1205748320,0.9030642509,0.6384069324,0.8063431382,-1.6721459627,0.9591456652,0.0936193019,0.9746339321,-0.8896839619,0.9024522305,0.5327426195,0.8999843001,0.0207464322,0.9937497377,0.2805311084,0.9099834561,-0.0216120686,0.9943466783,0.6106152534,1.1114224195,-0.2003387511,0.5106361508,0.2895227671,1.1512730122,0.0782595873,0.5040448904,0.5075963140,1.3454335928,-0.2035232186,0.1382233799,0.2857642174,1.4092510939,0.6877701283,0.2303181291,0.4961236417,1.3726274967,0.1425435245,0.0564514473,0.2844422162,1.4412894249,0.7272065282,0.0910246819,0.4474427402,1.4303003550,-0.1163992882,0.1051526815,0.3236156702,1.4946579933,0.3324897885,0.1579304934
5,1.0000000000,0.3525940478,0.3719272316,-0.9032281041,0.9984320402,0.3681207001,0.3531731367,-0.8353483677,0.9950074553,0.3851562440,0.3538681865,-0.8364756107,0.9947115183,0.4036031961,0.3552989960,-0.8367228508,0.9957036972,0.3313515484,0.3567629457,-0.8390934467,0.9968816042,0.3176757693,0.3604382873,-0.8404023647,0.9974745512,0.3068469465,0.3636933267,-0.8414043188,0.9979588985,0.4355100989,0.3728889525,-0.4659249485,0.9982476234,0.3082013428,0.3795007169,-0.4736535251,0.9971228838,0.3872430921,0.3968001902,-0.7605137825,0.9993239641,0.3378469050,0.3997234404,-0.7699406147,0.9992278814,0.5881692171,0.5337153077,-0.3036336601,0.9997427464,0.1925616562,0.5448641777,-0.2897666395,0.9993325472,0.7166486979,0.6891821027,-0.6860412955,0.9941238761,0.1364252865,0.7452065349,-0.3516577482,0.9624909759,0.6886914372,0.7073116899,-1.6220747232,0.9773824215,0.0941802710,0.9415593147,-0.8333377838,0.9262753725,0.6657729745,0.7541136742,-1.8394366503,0.9571778178,0.0884931907,0.9893556237,-0.9963018894,0.8768090010,0.6140980721,0.7306154370,-1.9090726376,0.9646169543,0.1224911734,0.9928949475,-1.1094169617,0.8960589767,0.6073206663,0.7171798944,-1.6723589897,0.9592610598,0.1376892924,0.9771236777,-0.8946622014,0.8946482539,0.5399235487,0.9041770101,0.0167595651,0.9941312671,0.2817232311,0.9166277051,-0.0175806824,0.9946671128,0.6021279097,1.1719386578,-0.0574147627,0.4815276265,0.2997404337,1.1499309540,0.0425429270,0.4689171910,0.5402690768,1.3937344551,0.2847759128,0.1298157871,0.2911885381,1.4032855034,0.6714072227,0.2117635608,0.5384719968,1.4212917089,0.3822923005,0.0533623844,0.2944505215,1.4349019527,0.6803123951,0.0841993168,0.5089893937,1.4759143591,-0.0069213747,0.0980609357,0.3178108931,1.4882593155,0.2993949056,0.1443319321
6,1.0000000000,0.3610019088,0.3716679811,-0.9217728376,0.9982627630,0.3749246597,0.3518218696,-0.8541332483,0.9944260120,0.3916679621,0.3525925279,-0.8552635908,0.9940034151,0.4104643166,0.3542231023,-0.8555106521,0.9952070713,0.3387107551,0.3554018438,-0.8589786291,0.9965341091,0.3245753646,0.3591713905,-0.8602557182,0.9971086383,0.3114469051,0.3624793887,-0.8612587452,0.9976609349,0.4376900196,0.3714842200,-0.4673260450,0.9979807138,0.3082004786,0.3785239160,-0.4881553650,0.9965755343,0.3932723403,0.3967730403,-0.7719428539,0.9992606640,0.3431502879,0.3993119895,-0.7848572135,0.9991575480,0.5860422850,0.5298483968,-0.2854925096,0.9997462630,0.1921176463,0.5433996916,-0.2978825867,0.9993422627,0.7215569019,0.6874855757,-0.7819783092,0.9937714338,0.1356716603,0.7452539206,-0.3818916976,0.9617652893,0.6650306582,0.6382675767,-1.8672351837,0.9776365161,0.1285129339,0.9433330894,-0.8695795536,0.9209028482,0.6500869989,0.6573412418,-2.1142189503,0.9584693313,0.1330821365,0.9932201505,-1.0474178791,0.8686794639,0.5865194798,0.6323031187,-2.1602430344,0.9653844237,0.1866025180,0.9929999113,-1.1444512606,0.8875796795,0.5803900957,0.6295217872,-1.9113680124,0.9591689110,0.1989708245,0.9766817093,-0.9249289036,0.8841043711,0.5456408262,0.9083644152,0.0210969858,0.9944509268,0.2826279998,0.9212006330,-0.0218656678,0.9949528575,0.6008957624,1.1804738045,0.1545986831,0.4431352019,0.3069233298,1.1514468193,0.2626713514,0.4278451800,0.5669140816,1.4085414410,0.6501036882,0.1191629320,0.3020118773,1.4066429138,0.9243969321,0.1923212111,0.5658320785,1.4375079870,0.6821647286,0.0493560620,0.3064121902,1.4388031960,0.9644505382,0.0768442824,0.5502256751,1.4931001663,0.2382612526,0.0896834210,0.3321390450,1.5007910728,0.5639227033,0.1306849420
7,1.0000000000,0.3692941070,0.3714042902,-0.9394991398,0.9980818629,0.3807524145,0.3508510888,-0.8649069071,0.9938062429,0.3976982832,0.3519231379,-0.8659384251,0.9932239056,0.4162478745,0.3537401259,-0.8661034107,0.9946346283,0.3447657228,0.3539942503,-0.8923728466,0.9961733818,0.3309510052,0.3578255475,-0.8937427998,0.9967420101,0.3160134554,0.3612995148,-0.8948056102,0.9973694682,0.4400746226,0.3707093298,-0.4782089591,0.9976550341,0.3081248105,0.3776061833,-0.5259869695,0.9960014820,0.3998386860,0.3967868686,-0.7935706377,0.9991803765,0.3487997353,0.3993080556,-0.8015544415,0.9990765452,0.5863221884,0.5268998742,-0.2425802052,0.9997485876,0.1918913275,0.5415750742,-0.3179766834,0.9993535280,0.7449682951,0.6846830249,-0.6867058873,0.9935374260,0.1353677809,0.7456443310,-0.3924588859,0.9578099847,0.6593712568,0.5972649455,-1.6992331743,0.9782432914,0.1595944762,0.9444569349,-0.8388240337,0.9073784351,0.6366348863,0.5880088806,-1.9222425222,0.9596310854,0.1707712412,0.9952696562,-1.0029556751,0.8484717011,0.5791408420,0.5672850609,-1.9599344730,0.9659142494,0.2308125794,0.9925184250,-1.1005331278,0.8668352365,0.5725614429,0.5763850212,-1.7361929417,0.9585965872,0.2415350527,0.9759850502,-0.8924112320,0.8601638675,0.5497660637,0.9119669795,0.0362179205,0.9947167635,0.2827308476,0.9224977493,-0.0369769260,0.9951766133,0.6001868248,1.1879103184,0.1821899712,0.4122692645,0.3083536029,1.1511828899,0.2520337999,0.3918060660,0.5787526965,1.4133685827,0.7133677602,0.1098542437,0.3039925396,1.4061560631,0.9069424868,0.1751487404,0.5785470009,1.4421759844,0.7428491116,0.0458931997,0.3085723817,1.4390703440,0.9485841393,0.0703441724,0.5631237626,1.4981882572,0.3024272919,0.0823304206,0.3325291872,1.5008927584,0.5420243144,0.1185778752
8,1.0000000000,0.3771169782,0.3713563085,-0.9794232249,0.9981482625,0.3884591460,0.3508512080,-0.8882587552,0.9939891100,0.4058433175,0.3519615531,-0.8892983198,0.9933806062,0.4231649637,0.3537296057,-0.8894501925,0.9947463274,0.3511751890,0.3535689712,-0.9332154393,0.9963096976,0.3369084299,0.3571340442,-0.9345431924,0.9968413711,0.3208826780,0.3605065346,-0.9354746938,0.9974455237,0.4425757527,0.3704574406,-0.4751940370,0.9976603389,0.3077700436,0.3772574663,-0.5670126677,0.9960604906,0.4066099524,0.3968078494,-0.8021333218,0.9991806746,0.3530176878,0.3991509676,-0.8404666781,0.9990903735,0.5842165351,0.5228541493,-0.2328547686,0.9997547269,0.1909985691,0.5404251814,-0.3520461321,0.9993789196,0.7730749846,0.6691946387,-0.6960399151,0.9938324690,0.1357044876,0.7463880777,-0.4525023997,0.9570178390,0.6584644318,0.5476639271,-1.6809701920,0.9798521399,0.1914696097,0.9444874525,-0.8689629436,0.9077244997,0.6331993341,0.5214166045,-1.8934481144,0.9622541070,0.1936946809,0.9954805970,-1.0286583900,0.8465874195,0.5722199678,0.5072596073,-1.9115128517,0.9678697586,0.2547917068,0.9925261140,-1.1009986401,0.8637869358,0.5660424232,0.5218774676,-1.7091659307,0.9604130983,0.2660812140,0.9754819274,-0.9099845886,0.8548430204,0.5512099266,0.9119790196,0.0520893745,0.9948626161,0.2842894793,0.9217829704,-0.0528047755,0.9952921867,0.6004855633,1.1903976202,0.2162961811,0.3864284456,0.3202963471,1.1517664194,0.2196762264,0.3598529398,0.5916960239,1.4167016745,0.7737454176,0.1011520177,0.3217690587,1.4101821184,0.8492999673,0.1597331762,0.5943891406,1.4457734823,0.8055856824,0.0427141152,0.3247710168,1.4446060658,0.8884875178,0.0644627810,0.5720800161,1.5002121925,0.3844574392,0.0756586790,0.3586773574,1.5033588409,0.4792110622,0.1077589467
9,1.0000000000,0.3818470538,0.3710173070,-0.9491932988,0.9981396198,0.3936012983,0.3504464328,-0.8615928292,0.9938468337,0.4103406370,0.3515822887,-0.8626028299,0.9930903912,0.4260206819,0.3531998992,-0.8627666831,0.9945167899,0.3543163538,0.3523390591,-0.9038279653,0.9963185191,0.3394199312,0.3556413352,-0.9052058458,0.9968215227,0.3229842484,0.3589097261,-0.9061453342,0.9974523783,0.4435595572,0.3698722720,-0.4106655121,0.9974036813,0.3075175583,0.3762845993,-0.5658694506,0.9959759116,0.4099765718,0.3964315951,-0.7665294409,0.9991061091,0.3552764654,0.3989816904,-0.8199404478,0.9990604520,0.5824392438,0.5219475627,-0.1511111706,0.9997448921,0.1895515919,0.5401669145,-0.3594104350,0.9994007945,0.7821218967,0.6510124207,-0.5535449982,0.9936521649,0.1391147673,0.7464336157,-0.4392368793,0.9533560276,0.6645234227,0.5106351376,-1.5807709694,0.9806176424,0.2124262601,0.9442536235,-0.7690123320,0.9054769874,0.6286844015,0.4763101637,-1.8827050924,0.9628083706,0.2137172073,0.9960301518,-0.8985140324,0.8394594789,0.5794389248,0.4601636827,-1.6025003195,0.9676278830,0.2741782665,0.9928774834,-0.9446299672,0.8553007841,0.5698130131,0.4779782295,-1.5583815575,0.9592781663,0.2835374773,0.9751839638,-0.7930340171,0.8438128233,0.5524579287,0.9145886302,0.0862798989,0.9948936701,0.2865624726,0.9260233045,-0.0870389640,0.9953520894,0.6025537848,1.1957756281,0.2695066929,0.3539724350,0.3263054192,1.1535079479,0.1477508545,0.3279398978,0.6007885933,1.4249569178,0.7807221413,0.0917754546,0.3297456503,1.4153689146,0.5922113657,0.1447716504,0.6030709743,1.4538141489,0.8108133078,0.0389911719,0.3314420879,1.4502805471,0.6184039712,0.0585850403,0.5819385052,1.5104889870,0.4496249557,0.0686181113,0.3727243543,1.5077213049,0.2488515675,0.0974889100
