frame,left_hand_detection_confidence,right_hand_detection_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_thumb_cmc_x,left_thumb_cmc_y,left_thumb_cmc_z,left_thumb_mcp_x,left_thumb_mcp_y,left_thumb_mcp_z,left_thumb_ip_x,left_thumb_ip_y,left_thumb_ip_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_mcp_x,left_index_mcp_y,left_index_mcp_z,left_index_pip_x,left_index_pip_y,left_index_pip_z,left_index_dip_x,left_index_dip_y,left_index_dip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_mcp_x,left_middle_mcp_y,left_middle_mcp_z,left_middle_pip_x,left_middle_pip_y,left_middle_pip_z,left_middle_dip_x,left_middle_dip_y,left_middle_dip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_mcp_x,left_ring_mcp_y,left_ring_mcp_z,left_ring_pip_x,left_ring_pip_y,left_ring_pip_z,left_ring_dip_x,left_ring_dip_y,left_ring_dip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_mcp_x,left_pinky_mcp_y,left_pinky_mcp_z,left_pinky_pip_x,left_pinky_pip_y,left_pinky_pip_z,left_pinky_dip_x,left_pinky_dip_y,left_pinky_dip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_wrist_x,right_wrist_y,right_wrist_z,right_thumb_cmc_x,right_thumb_cmc_y,right_thumb_cmc_z,right_thumb_mcp_x,right_thumb_mcp_y,right_thumb_mcp_z,right_thumb_ip_x,right_thumb_ip_y,right_thumb_ip_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_mcp_x,right_index_mcp_y,right_index_mcp_z,right_index_pip_x,right_index_pip_y,right_index_pip_z,right_index_dip_x,right_index_dip_y,right_index_dip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_mcp_x,right_middle_mcp_y,right_middle_mcp_z,right_middle_pip_x,right_middle_pip_y,right_middle_pip_z,right_middle_dip_x,right_middle_dip_y,right_middle_dip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_mcp_x,right_ring_mcp_y,right_ring_mcp_z,right_ring_pip_x,right_ring_pip_y,right_ring_pip_z,right_ring_dip_x,right_ring_dip_y,right_ring_dip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_mcp_x,right_pinky_mcp_y,right_pinky_mcp_z,right_pinky_pip_x,right_pinky_pip_y,right_pinky_pip_z,right_pinky_dip_x,right_pinky_dip_y,right_pinky_dip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
0,1.0000000000,1.0000000000,0.8145341873,0.9221562147,-0.0000000490,0.7638190985,0.9472426176,0.0047758888,0.7296292782,0.9774265289,0.0113905510,0.7112817168,1.0007879734,0.0142267663,0.7096149325,1.0150846243,0.0195727590,0.7757033110,1.0066657066,0.0328291059,0.7555178404,1.0332766771,0.0313071609,0.7371831536,1.0295513868,0.0233347006,0.7279285789,1.0214629173,0.0186000131,0.7945342660,1.0084854364,0.0284148827,0.7731801271,1.0345762968,0.0307326578,0.7540490031,1.0304619074,0.0227922536,0.7469064593,1.0224568844,0.0168549456,0.8073228598,1.0074491501,0.0220535435,0.7869776487,1.0322625637,0.0271466598,0.7695524096,1.0280740261,0.0272125509,0.7638672590,1.0205969810,0.0262969043,0.8137233853,1.0051072836,0.0148393959,0.7990168333,1.0283341408,0.0240681656,0.7851670384,1.0266298056,0.0313645527,0.7803982496,1.0198245049,0.0361289233,0.0605668202,0.9258465171,-0.0000003707,0.0766957626,0.9515609741,0.0101687266,0.0746564046,0.9781086445,0.0063445009,0.0758446455,0.9960827231,-0.0019618906,0.0840556324,1.0104213953,-0.0121300137,0.0234123338,0.9948397875,-0.0096451836,0.0395169184,1.0280475616,-0.0276880767,0.0659019127,1.0403958559,-0.0393459089,0.0844465867,1.0441784859,-0.0456281416,0.0207310747,0.9893863201,-0.0257459898,0.0462956876,1.0253419876,-0.0419737175,0.0763977394,1.0336220264,-0.0503517501,0.0980716646,1.0337649584,-0.0559747256,0.0279661305,0.9809381366,-0.0412846915,0.0544674508,1.0165722370,-0.0575710349,0.0881251320,1.0221829414,-0.0606127344,0.1127666980,1.0203766823,-0.0616881102,0.0430580564,0.9718267322,-0.0554176196,0.0663731620,1.0000003576,-0.0701174736,0.0874813125,1.0069748163,-0.0718010515,0.1055149212,1.0078412294,-0.0714524835
1,1.0000000000,1.0000000000,0.7892470360,0.9142868519,0.0000001369,0.7391936779,0.9277175665,-0.0137555422,0.7028509974,0.9552971721,-0.0154123614,0.6830510497,0.9792926908,-0.0155914268,0.6697914004,0.9984729886,-0.0132262390,0.7493253946,0.9911705256,0.0068627400,0.7413634062,1.0193072557,0.0016055760,0.7300230861,1.0316150188,-0.0061625219,0.7215920091,1.0391981602,-0.0112182032,0.7763769031,0.9945284724,0.0106667373,0.7702019811,1.0225272179,0.0085062422,0.7599375248,1.0355237722,0.0019388845,0.7528085709,1.0457285643,-0.0029228427,0.7971089482,0.9943653941,0.0118657881,0.7923349738,1.0209522247,0.0094741564,0.7833822370,1.0332928896,0.0093154563,0.7768418193,1.0437607765,0.0095415339,0.8102613688,0.9921589494,0.0110653248,0.8083097935,1.0170009136,0.0104463054,0.8026670218,1.0298510790,0.0141922208,0.7980469465,1.0399267673,0.0178724527,0.0539851189,0.9279208779,-0.0000000477,0.0456054173,0.9513907433,0.0057166698,0.0385215692,0.9804026484,0.0088503333,0.0376521200,1.0026531219,0.0094274180,0.0393331610,1.0197347403,0.0103947818,0.0180682261,0.9911986589,0.0125198532,0.0191444252,1.0200411081,0.0057531837,0.0255820695,1.0390366316,-0.0019004950,0.0328647867,1.0529356003,-0.0070731072,0.0235177707,0.9921526313,0.0051902616,0.0251135621,1.0208412409,0.0008681729,0.0319002643,1.0391603708,-0.0056415959,0.0402413532,1.0535205603,-0.0107805021,0.0342240892,0.9921249151,-0.0028819374,0.0368030407,1.0196368694,-0.0057802992,0.0434294939,1.0361250639,-0.0071996022,0.0504174903,1.0493612289,-0.0088225864,0.0494133532,0.9908400178,-0.0110210972,0.0521732830,1.0144003630,-0.0128872637,0.0561153442,1.0285283327,-0.0113345580,0.0613257252,1.0401650667,-0.0101163574
2,1.0000000000,0.0000000000,0.7711176872,0.8912066817,0.0000002553,0.7085393667,0.8926679492,-0.0238104705,0.6627492905,0.9158867002,-0.0367402360,0.6365323067,0.9400374889,-0.0465417281,0.6228609085,0.9622794986,-0.0539095141,0.7183222175,0.9572336078,-0.0304466467,0.6780782938,0.9914304018,-0.0537589267,0.6411835551,0.9967573881,-0.0680990964,0.6143873930,0.9923223257,-0.0740152150,0.7506496906,0.9671540260,-0.0242997576,0.7090435028,1.0005986691,-0.0429780819,0.6719115376,1.0030311346,-0.0505926199,0.6445749402,0.9987125397,-0.0535424240,0.7718165517,0.9719286561,-0.0202157088,0.7345322967,1.0052127838,-0.0347730145,0.6981236935,1.0089358091,-0.0360354632,0.6706447005,1.0065798759,-0.0348075479,0.7833278775,0.9726773500,-0.0181194432,0.7523934245,1.0013202429,-0.0285126828,0.7201507092,1.0079575777,-0.0277786013,0.6953322887,1.0081752539,-0.0246101376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0000000000,1.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0530910976,0.9396246076,-0.0000004443,0.0799026713,0.9597714543,0.0022421321,0.0907346457,0.9845060706,0.0021909403,0.0939809754,1.0027420521,-0.0012453693,0.0968982428,1.0154495239,-0.0037469948,0.0484536663,1.0099904537,0.0115451561,0.0778819025,1.0283089876,-0.0009877220,0.0995574594,1.0246186256,-0.0132681830,0.1074257493,1.0172532797,-0.0197141506,0.0422534086,1.0111174583,0.0047186851,0.0759677067,1.0255191326,-0.0027743268,0.0936416239,1.0191303492,-0.0094404975,0.0969704390,1.0101937056,-0.0131446701,0.0388236754,1.0083134174,-0.0037545005,0.0724458247,1.0205984116,-0.0095536904,0.0875603855,1.0128338337,-0.0082474798,0.0894951597,1.0043694973,-0.0067572519,0.0390887149,1.0033396482,-0.0128805833,0.0697200224,1.0132529736,-0.0149776107,0.0814474523,1.0073477030,-0.0097883530,0.0831653550,1.0009007454,-0.0045201005
4,1.0000000000,0.0000000000,0.7456054688,0.7452436090,0.0000000860,0.7535725832,0.7921935320,-0.0081204446,0.7309270501,0.8388954997,-0.0161075443,0.6998432279,0.8707384467,-0.0238846969,0.6732366085,0.8942759037,-0.0315286815,0.6689211130,0.8458838463,-0.0173216909,0.6187748313,0.8782712817,-0.0338553935,0.5998102427,0.8971145749,-0.0467367657,0.5914949179,0.9119824171,-0.0554614924,0.6451212168,0.8276998401,-0.0247271638,0.5934788585,0.8581379652,-0.0357317850,0.5758454800,0.8779459596,-0.0430780016,0.5691515803,0.8917282224,-0.0495462306,0.6281321049,0.8052478433,-0.0331633016,0.5759813190,0.8334265351,-0.0423994847,0.5564041138,0.8521440625,-0.0412176400,0.5474776626,0.8662632108,-0.0414350331,0.6165997982,0.7795975804,-0.0426807702,0.5756116509,0.8008871078,-0.0507691652,0.5565975904,0.8177743554,-0.0474992245,0.5468171239,0.8312177658,-0.0445186123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0000000000,0.0000000000,0.7263588309,0.6891285181,-0.0000001846,0.6619479656,0.6777040362,-0.0316089801,0.5841130018,0.6929313540,-0.0502066389,0.5340300798,0.7247545719,-0.0643084720,0.5289918780,0.7561138272,-0.0769503787,0.5950963497,0.7148951292,-0.0531018153,0.5523964167,0.7426913977,-0.0860220417,0.5520586371,0.7433331013,-0.1052926630,0.5608751774,0.7412939668,-0.1142291799,0.6283237338,0.7400901318,-0.0496764518,0.5743353367,0.7781624198,-0.0796165466,0.5747414827,0.7756359577,-0.0933346003,0.5909268260,0.7675976753,-0.0992561728,0.6605672240,0.7593543530,-0.0477976054,0.6089498997,0.7995340824,-0.0700570121,0.6091438532,0.7936636806,-0.0688602254,0.6238993406,0.7836105227,-0.0650601164,0.6907728910,0.7723117471,-0.0477000065,0.6502003670,0.8025252819,-0.0584959686,0.6507630944,0.7969514728,-0.0511997528,0.6645650268,0.7863844037,-0.0442536809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0000000000,0.0000000000,0.7088679075,0.6255431771,-0.0000000788,0.6518449187,0.6117553115,-0.0130633889,0.5761047006,0.6170954108,-0.0281114820,0.5254063606,0.6339276433,-0.0405184664,0.4996080995,0.6554793715,-0.0557097197,0.5935758352,0.6053649187,-0.0563707836,0.5283862948,0.6236462593,-0.0852344111,0.5045034885,0.6430587173,-0.1027769372,0.4978990257,0.6580715775,-0.1127276495,0.6238329411,0.6218498349,-0.0622676760,0.5668883324,0.6423851252,-0.0844218731,0.5434929729,0.6605621576,-0.0934543088,0.5340071917,0.6723324060,-0.1022324935,0.6581023932,0.6413586140,-0.0676995963,0.6042721868,0.6636079550,-0.0862606764,0.5790439844,0.6793627739,-0.0885064676,0.5639341474,0.6890903711,-0.0914153978,0.6883742809,0.6618565321,-0.0727807954,0.6456596255,0.6836620569,-0.0908098444,0.6183506250,0.6971201897,-0.0939198136,0.5979057550,0.7064855099,-0.0960754827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0000000000,0.0000000000,0.6329193711,0.5740067363,-0.0000004638,0.6403180957,0.5790050030,-0.0198481139,0.6224243045,0.5844563246,-0.0377787687,0.5952619910,0.5905044675,-0.0538688824,0.5700585842,0.5909104347,-0.0692279860,0.6223710179,0.5614968538,-0.0453466140,0.5816505551,0.5643697381,-0.0750317648,0.5538721085,0.5757405758,-0.0946158022,0.5328782201,0.5869077444,-0.1055060178,0.6115693450,0.5570089221,-0.0480498597,0.5764454007,0.5634476542,-0.0743742436,0.5499067307,0.5805418491,-0.0846886635,0.5305987597,0.5953169465,-0.0915982947,0.5972788334,0.5565345287,-0.0522836857,0.5617619753,0.5639619827,-0.0760004744,0.5336952209,0.5800254941,-0.0796986520,0.5125332475,0.5952476263,-0.0807404891,0.5782486796,0.5609797835,-0.0575624220,0.5403856635,0.5674226880,-0.0753522143,0.5153371096,0.5741969347,-0.0764780194,0.4956746101,0.5810355544,-0.0757531896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0000000000,0.0000000000,0.6760408878,0.5508245230,-0.0000003304,0.6154841185,0.5459065437,-0.0137238549,0.5633794665,0.5390360355,-0.0311871059,0.5225763917,0.5374359488,-0.0484546050,0.4950658977,0.5353406668,-0.0667273179,0.5634006858,0.4938766956,-0.0375620872,0.5127478838,0.4925418198,-0.0712728277,0.4804629087,0.4997255206,-0.0973351225,0.4585086107,0.5089285970,-0.1138398647,0.5964828730,0.4941232800,-0.0485753678,0.5471861959,0.4996892214,-0.0796561241,0.5197553039,0.5136212111,-0.0968634486,0.5008239150,0.5269036293,-0.1083694249,0.6321393847,0.5040258765,-0.0611009337,0.5932065248,0.5130442977,-0.0936683416,0.5639743209,0.5301789641,-0.1044604331,0.5419965982,0.5469455719,-0.1098437384,0.6648768783,0.5212079883,-0.0739692375,0.6320970058,0.5392013192,-0.1046526879,0.6099863648,0.5567800403,-0.1126586944,0.5924215913,0.5720983148,-0.1154183373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0000000000,0.0000000000,0.6735955477,0.5228216648,-0.0000002598,0.6121557355,0.5130696893,-0.0056829010,0.5585089922,0.5010831356,-0.0168292858,0.5197226405,0.4949369133,-0.0307773147,0.4874406457,0.4899055362,-0.0454845689,0.5690601468,0.4621067047,-0.0152669679,0.5422588587,0.4406868815,-0.0436431170,0.5184575319,0.4394086301,-0.0656692907,0.4946424067,0.4439030588,-0.0783997476,0.6013874412,0.4584090710,-0.0293134414,0.5699055791,0.4334428012,-0.0531851426,0.5392647982,0.4329545796,-0.0691629946,0.5120133758,0.4405554235,-0.0784018785,0.6366038322,0.4636188447,-0.0452129692,0.6096099019,0.4517129660,-0.0726797804,0.5802719593,0.4643328488,-0.0836982727,0.5544466972,0.4796695411,-0.0878697634,0.6687068343,0.4767450690,-0.0609994903,0.6410834193,0.4847230315,-0.0842487589,0.6143568158,0.5004615188,-0.0890021399,0.5910754800,0.5159006119,-0.0894543901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
