frame,pose_detection_confidence,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,1.0000000000,0.3779391348,0.3254671097,-0.2813956141,0.9991207719,0.3702252209,0.3203928173,-0.2596437335,0.9989454150,0.3684536815,0.3204724491,-0.2600475848,0.9990392923,0.3667045534,0.3205812275,-0.2599647939,0.9993582368,0.3688393831,0.3205455840,-0.3020954132,0.9991849065,0.3658244908,0.3208666444,-0.3024575412,0.9993457198,0.3625119925,0.3213579655,-0.3026917875,0.9994157553,0.3506862819,0.3244654834,-0.1405487061,0.9995509982,0.3432700336,0.3254817426,-0.3338425159,0.9986351132,0.3703168929,0.3332455754,-0.2315170020,0.9988269210,0.3682023287,0.3334581256,-0.2893300354,0.9987143278,0.3288863003,0.3501934707,0.0079566240,0.9999723434,0.3017029166,0.3607437611,-0.3627766669,0.9998596907,0.3064461648,0.4030530751,0.1001497880,0.0081753889,0.2528273463,0.3919874728,-0.4293808639,0.8850639462,0.3049294353,0.4420102239,0.0211104825,0.0141170761,0.2892381251,0.3900216520,-0.4337273240,0.2793554068,0.3038305342,0.4534268081,0.0164683424,0.0296453852,0.3002267480,0.3944749236,-0.4755698442,0.2092400342,0.3056543171,0.4480783343,-0.0211355928,0.0325380005,0.3060652912,0.3885014951,-0.4623550773,0.2100730538,0.3083278537,0.4467777014,0.0048519913,0.0299052652,0.2999478877,0.3881550133,-0.4281937778,0.1321035028,0.3112854958,0.4433321357,0.1203790009,0.9999823570,0.2928217947,0.4470002055,-0.1204811633,0.9999717474,0.3037915528,0.4918359220,0.3304802179,0.3782803118,0.2935877740,0.5039733648,-0.1290039420,0.9570358992,0.2547909021,0.5464604497,0.4896453619,0.9107910991,0.1855756938,0.4935520887,0.0446772128,0.9508996010,0.2385763824,0.5529463887,0.4979249239,0.8858482242,0.1733078212,0.4897028804,0.0625143051,0.7888666987,0.2854188979,0.5634901524,0.4331653714,0.9315656424,0.1513336748,0.5127774477,0.0119376928,0.9576564431
1,1.0000000000,0.3910578787,0.3232427835,-0.1473311037,0.9989448786,0.3838135004,0.3188075721,-0.1269379258,0.9986970425,0.3821294010,0.3186986744,-0.1272828728,0.9988167882,0.3805618286,0.3186061084,-0.1272369325,0.9992223382,0.3828535378,0.3189871907,-0.1632911712,0.9990086555,0.3803665340,0.3190799952,-0.1636037230,0.9992141128,0.3776478171,0.3192659020,-0.1638147235,0.9992915392,0.3667873144,0.3218072057,-0.0264543742,0.9994771481,0.3600214720,0.3226588368,-0.1909477115,0.9984186888,0.3844501674,0.3305057585,-0.1060798764,0.9987174869,0.3830631077,0.3299599886,-0.1552129388,0.9985615015,0.3543903232,0.3497283459,0.0990274176,0.9999715686,0.3171793222,0.3554973304,-0.2403716296,0.9998592734,0.3364614844,0.4020305872,0.1577271670,0.0093161510,0.2766981721,0.3904498518,-0.3489037752,0.8904047012,0.3459447920,0.4280849397,0.0551233329,0.0191147886,0.3322750330,0.3918943405,-0.4071098268,0.3151385784,0.3584147990,0.4436329603,0.0478101522,0.0383382998,0.3455115557,0.3942307532,-0.4487937689,0.2445789278,0.3567700982,0.4388132095,0.0166929886,0.0417844281,0.3406449854,0.3871253133,-0.4353891909,0.2439792007,0.3528300822,0.4338225424,0.0402956940,0.0383477136,0.3417279124,0.3877303898,-0.4027201235,0.1584194601,0.3246480823,0.4363937974,0.1099681333,0.9999836683,0.3046581149,0.4363839626,-0.1100135297,0.9999738932,0.3076029420,0.4917680025,0.2145166397,0.4150725007,0.3146293461,0.4989750683,-0.2006973028,0.9606924057,0.2547194958,0.5441386104,0.3369169533,0.9179818034,0.2200737000,0.5005762577,-0.0125057893,0.9547327161,0.2380189598,0.5503360629,0.3427031636,0.8936438560,0.2041290849,0.4949383140,0.0081724310,0.8022971749,0.2842929065,0.5641521215,0.2829464674,0.9369280338,0.2046262622,0.5282933712,-0.0289953742,0.9608345628
2,1.0000000000,0.4111360013,0.3214453161,-0.1347677708,0.9989251494,0.4049680531,0.3161490262,-0.1121094599,0.9986209869,0.4035402834,0.3158746362,-0.1124232188,0.9987182021,0.4022147059,0.3156248331,-0.1123773679,0.9991734624,0.4036155343,0.3164377213,-0.1478151977,0.9989756942,0.4011495709,0.3164218366,-0.1481035352,0.9991934896,0.3984431028,0.3164715171,-0.1482716352,0.9992675781,0.3884538710,0.3175777197,-0.0025615816,0.9994454384,0.3826387227,0.3191709518,-0.1652138531,0.9983224869,0.4057601690,0.3276514411,-0.0907302126,0.9987321496,0.4036046565,0.3273671567,-0.1393128633,0.9985656142,0.3771013021,0.3494527936,0.1279520392,0.9999709725,0.3437036276,0.3497379422,-0.2156907022,0.9998610020,0.3664986789,0.3956912160,0.1891706586,0.0114661939,0.2963093221,0.3859995008,-0.3781098723,0.8845604062,0.3848564327,0.4276235700,0.0876931846,0.0266631767,0.3301427066,0.3920184970,-0.5444765687,0.3340849578,0.3911433220,0.4407284260,0.0785538852,0.0474415123,0.3354138136,0.3938058019,-0.6042568684,0.2682448626,0.3953864276,0.4398489892,0.0409314856,0.0519065596,0.3394672275,0.3871693313,-0.5963116288,0.2674412727,0.3907474875,0.4356193542,0.0697066188,0.0468813367,0.3374431133,0.3877410889,-0.5459039807,0.1729314178,0.3396580219,0.4315187037,0.1115527302,0.9999839664,0.3301203847,0.4297894835,-0.1116085425,0.9999745488,0.3233934045,0.4876319170,0.1339701563,0.3972804844,0.3424455225,0.4886697233,-0.2611170411,0.9578622580,0.2564272583,0.5372770429,0.1995251328,0.9066690207,0.2665542066,0.5166142583,-0.1595936716,0.9535987973,0.2374651730,0.5436806083,0.1979011893,0.8839748502,0.2315773964,0.5196188092,-0.1518998146,0.7987807989,0.2793620229,0.5607683659,0.1008726135,0.9316642880,0.2628080547,0.5419473052,-0.2469430566,0.9595173597
3,1.0000000000,0.4295186102,0.3213515580,-0.1091735438,0.9988985658,0.4239874482,0.3160509467,-0.0900797397,0.9985429049,0.4227354825,0.3157469332,-0.0903418139,0.9986336231,0.4216828346,0.3154443800,-0.0902844816,0.9991142750,0.4226192236,0.3161553442,-0.1243640035,0.9989653826,0.4203744829,0.3159553707,-0.1246654466,0.9991985559,0.4180264175,0.3157419264,-0.1248331890,0.9992756844,0.4103266001,0.3167546093,0.0066594239,0.9994168282,0.4046567976,0.3174338043,-0.1489992887,0.9983756542,0.4238221049,0.3271757960,-0.0693908110,0.9987896085,0.4221411347,0.3266194463,-0.1158772707,0.9986483455,0.4007306099,0.3476333618,0.1259571612,0.9999707341,0.3593212664,0.3467297256,-0.1900540888,0.9998702407,0.3816159964,0.3933438063,0.1657486409,0.0142604839,0.3095811009,0.3848040402,-0.3155465424,0.8905937076,0.4008578062,0.4238688052,0.0468098000,0.0388795882,0.3528099358,0.3919751048,-0.4539711177,0.3888069987,0.4060337543,0.4321737885,0.0261071213,0.0650013909,0.3640817702,0.3943879604,-0.5112189054,0.3260661066,0.4116047323,0.4315170050,-0.0055257971,0.0707701743,0.3729694486,0.3886191249,-0.5052127242,0.3243000507,0.4086609483,0.4282226264,0.0289837718,0.0621467903,0.3680450916,0.3885709643,-0.4554830194,0.2251275480,0.3649242222,0.4300287366,0.1036312282,0.9999840856,0.3557207882,0.4301717281,-0.1036575809,0.9999756813,0.3408972025,0.4819106162,0.0882044733,0.4101537466,0.3648268878,0.4790512621,-0.2711759508,0.9596333504,0.2791694403,0.5298277736,0.1596586257,0.9077466130,0.2878122032,0.5280364752,-0.1416295320,0.9563497901,0.2556428313,0.5318080783,0.1596239507,0.8805546165,0.2654407918,0.5297494531,-0.1303400844,0.8063629866,0.2798632383,0.5588895082,0.0604323298,0.9335691929,0.2868204415,0.5597275496,-0.2243119925,0.9614269733
4,1.0000000000,0.4521933794,0.3202186227,-0.1210026368,0.9989942908,0.4464062154,0.3146184683,-0.1045780927,0.9986689091,0.4447850585,0.3142841458,-0.1048126891,0.9987504482,0.4433669448,0.3139283657,-0.1047305986,0.9991874099,0.4451028109,0.3145927787,-0.1419987977,0.9990579486,0.4427476525,0.3142508566,-0.1423103511,0.9992707968,0.4405031204,0.3138660192,-0.1424487531,0.9993419647,0.4298781157,0.3150134981,-0.0173204280,0.9994637966,0.4263150692,0.3153077960,-0.1855551451,0.9985279441,0.4454991519,0.3255774677,-0.0830372274,0.9988885522,0.4442232847,0.3252657056,-0.1333260834,0.9987685084,0.3992404342,0.3455336392,0.1020733863,0.9999660254,0.3915869296,0.3453072011,-0.2252772599,0.9998799562,0.3689544797,0.3862430453,0.1129951477,0.0152852694,0.3288834989,0.3828422427,-0.2743342817,0.8997168541,0.3798621297,0.4074909389,-0.0538118631,0.0402812324,0.3668105602,0.3922811747,-0.2540441155,0.4414794445,0.3810470402,0.4135344028,-0.0740282089,0.0694473609,0.3774754703,0.3949788511,-0.2821718156,0.3794783354,0.3868089318,0.4113067687,-0.0986620933,0.0749955401,0.3876925111,0.3932744265,-0.2733888328,0.3763274550,0.3863166869,0.4084535241,-0.0688168779,0.0657321960,0.3821799457,0.3918913603,-0.2488630414,0.2775620818,0.3729623258,0.4298838675,0.1046253145,0.9999848008,0.3817423582,0.4315902889,-0.1047265977,0.9999776483,0.3373345733,0.4790539443,0.1759483963,0.4492011666,0.4117932618,0.4849070311,-0.1208740324,0.9625654221,0.2732955813,0.5235970020,0.2730149031,0.9132062793,0.3607336283,0.5473529100,0.0249185283,0.9602418542,0.2519201040,0.5243052244,0.2772846222,0.8860954642,0.3397468925,0.5482852459,0.0382253565,0.8223260045,0.2661605477,0.5559396744,0.2212197632,0.9368884563,0.3676498830,0.5773921609,-0.0148387039,0.9642683864
5,1.0000000000,0.4675114453,0.3195194602,-0.1248064712,0.9990794063,0.4628688395,0.3138178289,-0.1038184091,0.9987846613,0.4620319605,0.3135107160,-0.1040631607,0.9988595247,0.4613815844,0.3131527603,-0.1040022671,0.9992566705,0.4604724646,0.3137919903,-0.1432766020,0.9991410971,0.4577997923,0.3134770691,-0.1436033249,0.9993360043,0.4548583627,0.3131042719,-0.1437671930,0.9994010329,0.4481870830,0.3144270778,0.0006913348,0.9995111227,0.4396676421,0.3145949244,-0.1781981140,0.9986653328,0.4627999663,0.3255107105,-0.0810936913,0.9989858866,0.4600016177,0.3252240419,-0.1344310641,0.9988787174,0.4422818422,0.3458668292,0.1247750223,0.9999654293,0.3957109749,0.3448355496,-0.2239696383,0.9998897314,0.4125071764,0.3890444040,0.1353779882,0.0177638046,0.3418146968,0.3817255199,-0.3026583791,0.9059352279,0.4326376021,0.4155030251,-0.0199339129,0.0421220288,0.3952306211,0.3998047411,-0.3245874047,0.4666180313,0.4374685287,0.4231552482,-0.0375134796,0.0732475668,0.4081449211,0.4064888060,-0.3617147803,0.4029469490,0.4420223534,0.4207274020,-0.0662291944,0.0787950531,0.4167664349,0.4018554389,-0.3507178426,0.3960205615,0.4396377802,0.4176363647,-0.0361954980,0.0698562190,0.4144298434,0.3999653161,-0.3196518719,0.2927131653,0.3979592025,0.4307745397,0.1087325737,0.9999859333,0.3981227279,0.4328833818,-0.1087636352,0.9999796748,0.3452543020,0.4796139002,0.1813704371,0.4859977067,0.4352199435,0.4866935611,-0.1454608887,0.9661059380,0.2703370154,0.5161789060,0.3410740495,0.9179868102,0.4076031744,0.5599031448,-0.0700197518,0.9641212821,0.2500871718,0.5169799924,0.3534337282,0.8926698565,0.3902349770,0.5657233000,-0.0642923936,0.8391937017,0.2669233084,0.5478583574,0.3143279850,0.9404493570,0.4252656698,0.5863128304,-0.1531693935,0.9676043391
6,1.0000000000,0.4847725332,0.3195571601,-0.1477638334,0.9991396666,0.4779343009,0.3141547740,-0.1212578118,0.9988788962,0.4759257138,0.3139325380,-0.1216811985,0.9989494681,0.4739787877,0.3136514425,-0.1215052754,0.9993148446,0.4772931337,0.3141730130,-0.1467070132,0.9992082119,0.4748194516,0.3139963150,-0.1471527070,0.9993890524,0.4720448256,0.3137809932,-0.1475111097,0.9994502068,0.4601832032,0.3151340187,-0.0188656338,0.9995530844,0.4560836554,0.3156945109,-0.2255415171,0.9987853169,0.4790807366,0.3259566128,-0.0994420499,0.9990785718,0.4780545235,0.3256950080,-0.1350363195,0.9989821315,0.4579584301,0.3495309353,0.1230941638,0.9999665618,0.4117679298,0.3464006782,-0.2820902467,0.9998994470,0.4373212457,0.3936673701,0.0887827948,0.0252956636,0.3556672335,0.3857537508,-0.3535124660,0.9144074917,0.4819652140,0.4172997475,-0.0993900821,0.0569726713,0.4201789498,0.4085519910,-0.3874368370,0.5148237944,0.4809017181,0.4268835187,-0.1226939261,0.0939732343,0.4360584915,0.4166353643,-0.4389209747,0.4539552033,0.4850249290,0.4303686321,-0.1597199887,0.1006441787,0.4410118461,0.4104686975,-0.4295559824,0.4461520612,0.4839679897,0.4239723384,-0.1201017424,0.0893845782,0.4378748834,0.4078150094,-0.3838828206,0.3423708975,0.4109701216,0.4319174588,0.1193331480,0.9999869466,0.4019574821,0.4339307845,-0.1192529351,0.9999815226,0.3535158336,0.4810084105,0.2660714388,0.4954151511,0.4483050704,0.4968674183,-0.1489818692,0.9693228602,0.2687729895,0.5109247565,0.4714162052,0.9108551741,0.4504145384,0.5688709021,-0.0619601533,0.9676137567,0.2486492842,0.5093628764,0.4873202145,0.8916142583,0.4396148324,0.5801208615,-0.0556033067,0.8545935750,0.2619602382,0.5390946269,0.4411526918,0.9352449775,0.4940537810,0.5866092443,-0.1612248570,0.9705191851
7,1.0000000000,0.4975814819,0.3266586065,-0.1815031767,0.9991570115,0.4902708232,0.3201907277,-0.1614889055,0.9989390969,0.4882417917,0.3199409842,-0.1618043631,0.9990121722,0.4863410592,0.3197074234,-0.1617541164,0.9993562698,0.4899960756,0.3203142881,-0.2029785812,0.9992485642,0.4878338277,0.3201760352,-0.2033024430,0.9994217753,0.4854983687,0.3200312555,-0.2034831345,0.9994795918,0.4732934237,0.3218720853,-0.0623731799,0.9995876551,0.4698776007,0.3223965764,-0.2655602098,0.9988746643,0.4918313622,0.3327815831,-0.1371489912,0.9991531372,0.4906680286,0.3328720033,-0.1932204664,0.9990631938,0.4632847607,0.3578471243,0.0775394216,0.9999668598,0.4302257895,0.3553847671,-0.3210222125,0.9999058247,0.4563167989,0.4046453834,0.0775553286,0.0306377802,0.3742472231,0.3922610283,-0.4064975977,0.9202848673,0.4967322350,0.4336304665,-0.0917688385,0.0627149269,0.4406144917,0.4185843170,-0.4331007302,0.5423440337,0.5014052987,0.4446576834,-0.1113603488,0.1019722745,0.4570079446,0.4288382232,-0.4821205139,0.4785459340,0.5029210448,0.4454168677,-0.1500641704,0.1093155965,0.4635425806,0.4233652949,-0.4716228247,0.4677406251,0.5007210970,0.4400409162,-0.1126559153,0.0974756703,0.4571527243,0.4206249416,-0.4292262197,0.3551051617,0.4261955023,0.4422684312,0.1241794005,0.9999877214,0.4154761732,0.4404953122,-0.1241286173,0.9999830723,0.3694961369,0.4862727821,0.2623127699,0.4980384707,0.4598845840,0.5065780878,-0.1304945201,0.9719624519,0.2679036856,0.5070955753,0.4417124391,0.9010050297,0.4786154330,0.5754860640,-0.0278507546,0.9706627131,0.2477460951,0.5033002496,0.4553662539,0.8891988993,0.4700508118,0.5880017281,-0.0218982287,0.8681572080,0.2567306757,0.5341276526,0.4073254168,0.9262210727,0.5278425217,0.5893498063,-0.1281659305,0.9727659822
8,1.0000000000,0.5064613819,0.3361145258,-0.1376848370,0.9992073774,0.4986039400,0.3289092481,-0.1213114634,0.9990121722,0.4962799847,0.3286269605,-0.1215450093,0.9990779757,0.4940808117,0.3284110129,-0.1215317398,0.9993970394,0.4986552000,0.3290097713,-0.1646867245,0.9993086457,0.4965412915,0.3288275301,-0.1649854779,0.9994696379,0.4942649603,0.3286576867,-0.1651773751,0.9995247722,0.4808226824,0.3303306699,-0.0355251990,0.9996170998,0.4794404805,0.3308480382,-0.2390760630,0.9989788532,0.4989143610,0.3423985541,-0.0989278480,0.9992109537,0.4983631372,0.3424825966,-0.1577223092,0.9991409779,0.4540741146,0.3650031090,0.1008860618,0.9999510050,0.4493584633,0.3660587966,-0.3070449233,0.9999131560,0.4284125268,0.4089845419,0.1849074960,0.0290292967,0.3902944326,0.4053020477,-0.3930835128,0.9268591404,0.4646729827,0.4357616901,0.1394190788,0.0573345833,0.4586434960,0.4318327606,-0.4047999084,0.5785734653,0.4719052911,0.4434255958,0.1414793134,0.0937781408,0.4745659232,0.4420245886,-0.4469441175,0.5153558850,0.4791245461,0.4432986677,0.1065903604,0.1004991829,0.4859993160,0.4370105267,-0.4318802059,0.5031077862,0.4765955508,0.4396693110,0.1229902133,0.0900530666,0.4812854230,0.4338429570,-0.3978390992,0.3889389336,0.4267325997,0.4535914361,0.1310485452,0.9999883771,0.4353024065,0.4561180472,-0.1310473680,0.9999846220,0.3810454607,0.4965334833,0.3266074061,0.5131338239,0.4764911830,0.5159031749,-0.0866180435,0.9745321870,0.2692765594,0.5052074194,0.5232560039,0.8948140740,0.4917775393,0.5823784471,0.0414519385,0.9734596610,0.2482055277,0.4996585548,0.5406252742,0.8911965489,0.4826477766,0.5944648981,0.0531739444,0.8807693720,0.2559624910,0.5261422396,0.5244898796,0.9191491604,0.5372316241,0.6000881791,-0.0202563535,0.9748523831
9,1.0000000000,0.5132814646,0.3415041268,-0.1933407038,0.9992485642,0.5047525167,0.3346425295,-0.1734112203,0.9990717769,0.5025559664,0.3343859613,-0.1736331582,0.9991317391,0.5004361272,0.3342102170,-0.1735742688,0.9994273186,0.5048794746,0.3347828686,-0.2214490622,0.9993624091,0.5029017925,0.3346396387,-0.2217748612,0.9995132089,0.5007323623,0.3344856203,-0.2219626606,0.9995655417,0.4864656627,0.3364811540,-0.0699737743,0.9996414185,0.4856559932,0.3369168043,-0.2864850163,0.9990750551,0.5067479014,0.3481172919,-0.1485380530,0.9992732406,0.5063453317,0.3482204676,-0.2130647302,0.9992183447,0.4671453238,0.3748042285,0.0866431594,0.9999464154,0.4505231082,0.3754642308,-0.3601527512,0.9999210835,0.4543574750,0.4216341674,0.1158478633,0.0272583812,0.4227209985,0.4227433801,-0.4414493442,0.9334922433,0.4940784872,0.4515689015,-0.0328469723,0.0528765060,0.4771279097,0.4556052685,-0.4471801519,0.6187418103,0.5054281950,0.4607533813,-0.0460454784,0.0873048007,0.4851011038,0.4644091427,-0.4980266988,0.5597114563,0.5132219791,0.4597437978,-0.0868123025,0.0936044678,0.4948941469,0.4605880678,-0.4837136865,0.5478321314,0.5065763593,0.4561239779,-0.0546819605,0.0841200724,0.4915275574,0.4573158622,-0.4407716990,0.4367553592,0.4359246790,0.4592264891,0.1353357881,0.9999884963,0.4390461743,0.4615471363,-0.1353525817,0.9999859333,0.3945570886,0.5042126179,0.2948082387,0.5007884502,0.4930485189,0.5169004202,-0.0914042741,0.9762424827,0.2809184790,0.5042463541,0.4892942011,0.8688402772,0.4770444334,0.5818514824,0.1122329235,0.9754607677,0.2632190287,0.4974115789,0.5063402653,0.8760610223,0.4604050219,0.5916659236,0.1318766177,0.8896310329,0.2551615536,0.5257611275,0.4698691964,0.8982540369,0.5181173682,0.6039113402,0.0605870038,0.9748660922
