frame,left_hand_detection_confidence,right_hand_detection_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_thumb_cmc_x,left_thumb_cmc_y,left_thumb_cmc_z,left_thumb_mcp_x,left_thumb_mcp_y,left_thumb_mcp_z,left_thumb_ip_x,left_thumb_ip_y,left_thumb_ip_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_mcp_x,left_index_mcp_y,left_index_mcp_z,left_index_pip_x,left_index_pip_y,left_index_pip_z,left_index_dip_x,left_index_dip_y,left_index_dip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_mcp_x,left_middle_mcp_y,left_middle_mcp_z,left_middle_pip_x,left_middle_pip_y,left_middle_pip_z,left_middle_dip_x,left_middle_dip_y,left_middle_dip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_mcp_x,left_ring_mcp_y,left_ring_mcp_z,left_ring_pip_x,left_ring_pip_y,left_ring_pip_z,left_ring_dip_x,left_ring_dip_y,left_ring_dip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_mcp_x,left_pinky_mcp_y,left_pinky_mcp_z,left_pinky_pip_x,left_pinky_pip_y,left_pinky_pip_z,left_pinky_dip_x,left_pinky_dip_y,left_pinky_dip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_wrist_x,right_wrist_y,right_wrist_z,right_thumb_cmc_x,right_thumb_cmc_y,right_thumb_cmc_z,right_thumb_mcp_x,right_thumb_mcp_y,right_thumb_mcp_z,right_thumb_ip_x,right_thumb_ip_y,right_thumb_ip_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_mcp_x,right_index_mcp_y,right_index_mcp_z,right_index_pip_x,right_index_pip_y,right_index_pip_z,right_index_dip_x,right_index_dip_y,right_index_dip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_mcp_x,right_middle_mcp_y,right_middle_mcp_z,right_middle_pip_x,right_middle_pip_y,right_middle_pip_z,right_middle_dip_x,right_middle_dip_y,right_middle_dip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_mcp_x,right_ring_mcp_y,right_ring_mcp_z,right_ring_pip_x,right_ring_pip_y,right_ring_pip_z,right_ring_dip_x,right_ring_dip_y,right_ring_dip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_mcp_x,right_pinky_mcp_y,right_pinky_mcp_z,right_pinky_pip_x,right_pinky_pip_y,right_pinky_pip_z,right_pinky_dip_x,right_pinky_dip_y,right_pinky_dip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
0,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0000000000,1.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4591660202,0.4107672572,-0.0000000752,0.4718392491,0.4052205086,-0.0050894809,0.4747062624,0.4030989110,-0.0124720670,0.4670078754,0.4032140374,-0.0195502918,0.4547362328,0.4038752019,-0.0269587897,0.4914703965,0.4126945138,-0.0141559104,0.4727993906,0.4072376192,-0.0240392070,0.4631150365,0.4039024413,-0.0323324576,0.4574437439,0.4030051231,-0.0375254601,0.4800590277,0.4186534584,-0.0161622465,0.4602354169,0.4149752557,-0.0213772170,0.4555282295,0.4106273055,-0.0233016629,0.4532414377,0.4083078802,-0.0255973060,0.4664072692,0.4227623045,-0.0183428917,0.4470545650,0.4199463129,-0.0216257554,0.4454001188,0.4158922732,-0.0194709171,0.4458136261,0.4138013721,-0.0187114291,0.4522117674,0.4256306291,-0.0214257743,0.4347131848,0.4235301614,-0.0224639513,0.4352404177,0.4200125933,-0.0196292214,0.4385764599,0.4179487824,-0.0177784450
7,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0000000000,1.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4775666893,0.4368256927,-0.0000001276,0.4880841672,0.4316326678,-0.0042951619,0.5046393871,0.4284579754,-0.0071810205,0.5172157884,0.4281153083,-0.0105714118,0.5239542723,0.4302262068,-0.0131362891,0.5306776166,0.4368729293,-0.0003142036,0.5365313888,0.4381208718,-0.0041031232,0.5315812826,0.4379231036,-0.0080662398,0.5269005895,0.4384058416,-0.0111212786,0.5295595527,0.4442371130,-0.0014652255,0.5331579447,0.4454114139,-0.0053146915,0.5268806815,0.4447782338,-0.0090009309,0.5206342340,0.4447949827,-0.0112754842,0.5244124532,0.4507102966,-0.0033497724,0.5280794501,0.4528721571,-0.0082607958,0.5229712725,0.4531908333,-0.0095984852,0.5175157189,0.4537712038,-0.0097435517,0.5166919231,0.4558691382,-0.0056780265,0.5199530721,0.4602836370,-0.0097705144,0.5181651115,0.4624692202,-0.0097324736,0.5157103539,0.4646126330,-0.0085605774
9,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0000000000,1.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5140422583,0.4714044631,0.0000001444,0.5041308999,0.4754411578,-0.0111672813,0.5021075010,0.4831265509,-0.0160480831,0.5049343109,0.4891968668,-0.0190342758,0.5080428123,0.4935371280,-0.0214858241,0.5205076933,0.4929237962,-0.0112329796,0.5200116634,0.5034818649,-0.0169684142,0.5183284879,0.5108643770,-0.0216226298,0.5170036554,0.5164396167,-0.0245304555,0.5247939229,0.4932041466,-0.0077425567,0.5236558914,0.5039682388,-0.0130114201,0.5221616030,0.5111112595,-0.0164140351,0.5209352374,0.5168395638,-0.0183988474,0.5267518163,0.4933429658,-0.0050765621,0.5252738595,0.5030966997,-0.0088257901,0.5247049928,0.5100206733,-0.0095909918,0.5244098306,0.5158891082,-0.0096489405,0.5271893740,0.4929984212,-0.0035441052,0.5261535645,0.5018419623,-0.0055752317,0.5256409049,0.5078661442,-0.0053313216,0.5255299807,0.5125197768,-0.0047079748
11,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0000000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
